91.9443,90.1122,
-235.041,-275.377,
1.40055,1.63971,
92.5802,90.6155,89.6137,90.1122,
-234.306,-242.344,-250.561,-275.377,
1.26236,1.39504,1.49912,1.63971,
91.7243,90.0658,89.3088,89.5712,90.1122,
-235.123,-243.046,-251.107,-267.296,-275.377,
1.29821,1.42573,1.52364,1.63063,1.63971,
91.9092,90.2305,89.4248,89.2822,90.1122,
-234.453,-242.509,-250.701,-258.932,-275.377,
1.30277,1.4235,1.51756,1.58495,1.63971,
92.4059,90.4178,89.6596,89.7087,90.1122,
-235.9,-250.747,-258.202,-266.794,-275.377,
1.57095,1.4074,1.5572,1.59648,1.63971,
91.716,90.1546,89.4122,90.1122,
-235.078,-243.025,-251.092,-275.377,
1.31729,1.4321,1.52175,1.63971,
91.882,90.7964,90.0766,89.7231,90.1122,
-234.949,-242.986,-251.064,-259.166,-275.377,
1.41378,1.45925,1.50459,1.54977,1.63971,
92.2391,89.6734,90.1122,
-234.538,-250.746,-275.377,
1.30801,1.50523,1.63971,
92.2779,90.1122,
-234.381,-275.377,
1.36229,1.63971,
92.0739,89.3038,88.3055,88.5169,89.3241,90.1122,
-234.375,-242.208,-250.468,-258.792,-267.084,-275.377,
1.09638,1.35302,1.53568,1.64434,1.67902,1.63971,
92.4059,91.2514,89.8302,89.6346,89.7497,90.1122,
-235.9,-245.532,-255.134,-261.883,-268.635,-275.377,
1.57095,1.38489,1.51567,1.56639,1.60774,1.63971,
92.2827,90.1122,
-234.861,-275.377,
1.3667,1.63971,
92.0086,90.5536,89.7574,89.5009,89.6607,90.1122,
-235.233,-243.167,-251.193,-259.256,-267.322,-275.377,
1.343,1.43324,1.50804,1.56738,1.61127,1.63971,
92.395,90.1122,
-234.896,-275.377,
1.34049,1.63971,
91.8025,90.1734,89.5133,89.5768,90.1122,
-235.645,-245.484,-255.438,-265.414,-275.377,
1.34936,1.45986,1.54508,1.60503,1.63971,
92.7185,90.1122,
-234.236,-275.377,
1.30278,1.63971,
92.2234,89.5747,90.1122,
-234.921,-259.126,-275.377,
1.34511,1.55961,1.63971,
92.2773,90.8264,89.9682,89.6205,90.1122,
-235.341,-243.254,-251.255,-259.294,-275.377,
1.34863,1.42851,1.49756,1.55578,1.63971,
92.2915,90.6929,89.8573,89.6951,90.1122,
-236.357,-246.024,-255.788,-265.586,-275.377,
1.36444,1.44778,1.52144,1.58542,1.63971,
90.6205,89.6014,89.1815,89.2213,90.1122,
-233.815,-242.083,-250.404,-258.736,-275.377,
1.40636,1.48711,1.55082,1.59749,1.63971,
92.1267,89.4367,90.1122,
-235.24,-259.246,-275.377,
1.31564,1.57185,1.63971,
92.4059,91.4683,89.8294,89.239,89.6583,90.1122,
-235.9,-244.887,-253.784,-262.794,-269.087,-275.377,
