-1.65285,-0.978223,
-0.0376717,-0.0575342,
245.121,229.604,
-1.93816,-0.978223,
-0.0625739,-0.0575342,
243.865,236.736,229.604,
-2.15377,-1.54933,-0.978223,
-0.066877,-0.0922639,-0.0575342,
244.905,237.253,229.604,
-1.5994,-1.32077,-0.978223,
-0.0408258,-0.0362709,-0.0575342,
243.892,236.747,229.604,
-1.89288,-1.44162,-0.978223,
-0.0541368,-0.0679767,-0.0575342,
244.936,237.276,229.604,
-2.25364,-1.53774,-0.978223,
-0.0983283,-0.0855254,-0.0575342,
245.12,229.604,
-2.14548,-0.978223,
-0.0757441,-0.0575342,
243.684,236.647,229.604,
-1.70107,-1.29565,-0.978223,
-0.0825343,-0.0419202,-0.0575342,
244.871,237.237,229.604,
-1.87634,-1.4364,-0.978223,
-0.0527538,-0.0605678,-0.0575342,
244.439,236.288,229.604,
-1.73917,-1.43903,-0.978223,
-0.00050714,-0.0760311,-0.0575342,
244.999,237.305,229.604,
-2.13935,-1.51008,-0.978223,
-0.0828409,-0.0778221,-0.0575342,
244.065,236.835,229.604,
-1.73399,-1.34588,-0.978223,
-0.0631944,-0.0481388,-0.0575342,
244.439,235.232,229.604,
-1.73917,-1.33683,-0.978223,
-0.00050714,-0.0749863,-0.0575342,
244.633,229.604,
-1.68899,-0.978223,
-0.00625303,-0.0575342,
245.132,237.372,229.604,
-2.2962,-1.5871,-0.978223,
-0.0833445,-0.0917903,-0.0575342,
243.638,236.629,229.604,
-2.15415,-1.46935,-0.978223,
-0.112736,-0.0828268,-0.0575342,
244.945,237.275,229.604,
-1.5353,-1.25569,-0.978223,
-0.0580903,-0.0255375,-0.0575342,
244.439,237.775,229.604,
-1.73917,-1.52556,-0.978223,
-0.00050714,-0.0678679,-0.0575342,
243.621,236.611,229.604,
-1.32415,-1.20099,-0.978223,
-0.029105,-0.0153524,-0.0575342,
244.827,237.213,229.604,
-1.7554,-1.41523,-0.978223,
-0.0320925,-0.0541043,-0.0575342,
244.665,229.604,
-1.71837,-0.978223,
-0.0278134,-0.0575342,
244.09,236.848,229.604,
-1.74325,-1.35422,-0.978223,
-0.0611307,-0.0494737,-0.0575342,
244.899,229.604,
-1.48064,-0.978223,
0.0137436,-0.0575342,
243.736,236.669,229.604,
-1.93868,-1.47038,-0.978223,
-0.0507828,-0.0747096,-0.0575342,
244.439,236.267,229.604,
-1.73917,-1.42383,-0.978223,
-0.00050714,-0.0702406,-0.0575342,
243.733,229.604,
-1.55747,-0.978223,
-0.0383879,-0.0575342,
243.699,229.604,
-2.15221,-0.978223,
-0.0711791,-0.0575342,
243.618,236.608,229.604,
-1.50338,-1.33118,-0.978223,
-0.00594699,-0.0403137,-0.0575342,
244.439,235.569,229.604,
-1.73917,-1.33706,-0.978223,
-0.00050714,-0.0673918,-0.0575342,
244.738,229.604,
-1.78108,-0.978223,
-0.0353306,-0.0575342,
243.666,229.604,
-2.35966,-0.978223,
-0.126072,-0.0575342,
244.218,236.909,229.604,
-1.36821,-1.25044,-0.978223,
-0.0152619,-0.0218203,-0.0575342,
244.439,237.017,229.604,
-1.73917,-1.46448,-0.978223,
-0.00050714,-0.0623617,-0.0575342,
