244.439,232.375,225.387,
-1.73917,-1.14789,-0.721866,
-0.00050714,-0.070773,-0.0486445,
245.211,235.303,225.387,
-1.77534,-1.17713,-0.721866,
-0.0774923,-0.0481037,-0.0486445,
244.439,233.251,225.387,
-1.73917,-1.26154,-0.721866,
-0.00050714,-0.0821548,-0.0486445,
243.615,234.497,225.387,
-1.67218,-1.27122,-0.721866,
-0.0160891,-0.0619469,-0.0486445,
244.218,225.387,
-2.04217,-0.721866,
-0.0900813,-0.0486445,
244.439,235.303,225.387,
-1.73917,-1.40726,-0.721866,
-0.00050714,-0.0750065,-0.0486445,
244.228,225.387,
-1.74359,-0.721866,
-0.0577288,-0.0486445,
245.067,235.224,225.387,
-1.71383,-1.28296,-0.721866,
-0.0221825,-0.0578366,-0.0486445,
245.122,225.387,
-1.42889,-0.721866,
-0.0004785,-0.0486445,
244.83,235.108,225.387,
-1.50646,-1.11483,-0.721866,
-0.0483696,-0.0362438,-0.0486445,
244.762,225.387,
-1.90505,-0.721866,
-0.0458427,-0.0486445,
244.439,238.113,231.799,225.387,
-1.73917,-1.57013,-1.14662,-0.721866,
-0.00050714,-0.049884,-0.0810158,-0.0486445,
245.206,235.296,225.387,
-2.01256,-1.37541,-0.721866,
-0.0453386,-0.0740528,-0.0486445,
245.16,225.387,
-1.94608,-0.721866,
-0.0711681,-0.0486445,
245.072,225.387,
-1.39837,-0.721866,
-0.00122226,-0.0486445,
244.716,225.387,
-1.78431,-0.721866,
-0.0957906,-0.0486445,
244.439,238.452,232.476,225.387,
-1.73917,-1.59785,-1.20828,-0.721866,
-0.00050714,-0.0455205,-0.0834954,-0.0486445,
245.151,225.387,
-1.36537,-0.721866,
-0.0248431,-0.0486445,
244.924,235.155,225.387,
-1.46974,-1.10423,-0.721866,
-0.045196,-0.0339308,-0.0486445,
244.05,234.727,225.387,
-1.74341,-1.10037,-0.721866,
-0.105355,-0.0435224,-0.0486445,
244.439,232.179,225.387,
-1.73917,-1.2026,-0.721866,
-0.00050714,-0.082738,-0.0486445,
243.603,234.494,225.387,
-1.95461,-1.3528,-0.721866,
-0.0422513,-0.0786332,-0.0486445,
244.439,232.364,225.387,
-1.73917,-1.16839,-0.721866,
-0.00050714,-0.0748482,-0.0486445,
244.554,225.387,
-1.49153,-0.721866,
-0.0134657,-0.0486445,
243.966,234.679,225.387,
-1.61239,-1.11601,-0.721866,
-0.0706577,-0.0420155,-0.0486445,
243.634,234.51,225.387,
-1.6686,-1.20929,-0.721866,
-0.04248,-0.0549748,-0.0486445,
244.439,238.737,232.065,225.387,
-1.73917,-1.51309,-1.0668,-0.721866,
-0.00050714,-0.0790135,-0.0568835,-0.0486445,
245.359,238.704,232.048,225.387,
-2.10733,-1.61512,-1.12274,-0.721866,
-0.0692194,-0.0761304,-0.0692721,-0.0486445,
244.154,225.387,
-1.76682,-0.721866,
