151.279,141.569,131.87,112.458,
-58.2436,-58.6556,-57.8915,-57.0723,
0.13926,-0.0362669,-0.102795,0.0911451,
152.135,142.206,132.297,122.383,112.458,
-58.1241,-58.1115,-57.4316,-56.8349,-57.0723,
0.0575693,-0.0474929,-0.0769177,-0.030705,0.0911451,
151.169,141.523,131.844,122.144,112.458,
-58.3515,-57.3112,-56.67,-56.55,-57.0723,
-0.123934,-0.0888691,-0.0413342,0.0186705,0.0911451,
151.916,143.443,134.931,126.455,117.984,112.458,
-58.3143,-59.1123,-58.8324,-57.9836,-57.0749,-57.0723,
0.177233,0.020539,-0.076308,-0.113308,-0.090462,0.0911451,
152.627,144.63,136.596,128.545,120.493,112.458,
-58.0516,-57.0983,-56.5285,-56.3377,-56.521,-57.0723,
-0.142793,-0.0946179,-0.0471366,-0.000349077,0.0457449,0.0911451,
151.916,135.39,127.781,120.129,112.458,
-58.3143,-58.5119,-57.4884,-56.8872,-57.0723,
0.177233,-0.145602,-0.113932,-0.0350168,0.0911451,
152.419,144.425,136.438,112.458,
-58.0433,-57.7171,-57.2296,-57.0723,
-0.0211893,-0.0556098,-0.0615866,0.0911451,
151.916,135.392,127.783,120.127,112.458,
-58.3143,-58.3814,-57.3697,-56.8423,-57.0723,
0.177233,-0.152131,-0.10638,-0.0252875,0.0911451,
152.516,144.518,136.514,128.497,120.471,112.458,
-58.3125,-57.6409,-57.0462,-56.6631,-56.6269,-57.0723,
-0.0829825,-0.0817724,-0.0637546,-0.028929,0.0227042,0.0911451,
152.303,142.361,132.398,122.421,112.458,
-58.0225,-57.1622,-56.6115,-56.5289,-57.0723,
-0.0965993,-0.0734052,-0.0343832,0.020467,0.0911451,
152.158,142.248,132.324,122.385,112.458,
-58.0906,-57.3036,-56.7214,-56.5693,-57.0723,
-0.0820222,-0.0726969,-0.0407273,0.0138868,0.0911451,
151.916,135.404,127.186,119.828,112.458,
-58.3143,-58.3484,-57.2869,-56.7759,-57.0723,
0.177233,-0.114297,-0.127945,-0.0126678,0.0911451,
151.916,135.103,126.752,119.617,112.458,
-58.3143,-58.5564,-57.3615,-56.7585,-57.0723,
0.177233,-0.109423,-0.165085,-0.0118943,0.0911451,
151.366,141.626,131.914,122.195,112.458,
-58.4643,-58.3895,-57.5994,-56.8937,-57.0723,
0.0564505,-0.0581158,-0.0905221,-0.0407685,0.0911451,
151.916,128.51,112.458,
-58.3143,-57.8898,-57.0723,
0.177233,-0.18476,0.0911451,
152.057,142.154,132.259,112.458,
-57.9485,-58.2994,-57.6429,-57.0723,
0.117911,-0.0312413,-0.0854196,0.0911451,
151.916,135.141,127.605,112.458,
-58.3143,-57.6514,-56.8391,-57.0723,
0.177233,-0.151362,-0.0644271,0.0911451,
152.849,112.458,
-57.966,-57.0723,
0.0232399,0.0911451,
