134.888,126.913,118.814,110.622,95.8233,
-59.0372,-57.1049,-55.8117,-55.8354,-62.2379,
-0.250093,-0.211672,-0.0913701,0.110812,0.760818,
136.761,128.373,119.904,111.343,103.027,95.8233,
-58.8766,-57.0983,-55.7801,-55.7165,-57.6816,-62.2379,
-0.205321,-0.197072,-0.0963336,0.0968941,0.382611,0.760818,
131.396,122.182,112.856,103.734,95.8233,
-57.3977,-55.8443,-55.5046,-57.3804,-62.2379,
-0.196136,-0.119816,0.0651157,0.35866,0.760818,
134.639,126.76,118.735,110.586,102.672,95.8233,
-59.7414,-57.6031,-56.1257,-55.9967,-57.881,-62.2379,
-0.278706,-0.237424,-0.11283,0.0950748,0.386291,0.760818,
136.566,128.142,119.733,111.272,95.8233,
-58.2159,-57.3336,-56.3013,-56.1381,-62.2379,
-0.0552262,-0.133367,-0.090833,0.0723758,0.760818,
137.014,128.567,111.47,95.8233,
-59.1093,-57.4331,-55.8711,-62.2379,
-0.180132,-0.194749,0.0802276,0.760818,
136.747,128.347,119.864,111.304,95.8233,
-58.4872,-56.7697,-55.5521,-55.599,-62.2379,
-0.201617,-0.186939,-0.0833565,0.10913,0.760818,
135.889,127.625,119.34,95.8233,
-58.387,-57.1361,-56.0454,-62.2379,
-0.124841,-0.158088,-0.0861457,0.760818,
137.106,120.126,111.52,95.8233,
-59.2146,-56.2295,-55.9684,-62.2379,
-0.163033,-0.113818,0.070952,0.760818,
136.527,119.832,111.317,95.8233,
-59.6467,-56.1615,-55.917,-62.2379,
-0.228184,-0.119627,0.078173,0.760818,
135.344,118.498,110.436,102.582,95.8233,
-59.1944,-56.5362,-55.9586,-57.8357,-62.2379,
-0.00116962,-0.212394,0.0754563,0.39986,0.760818,
135.456,127.309,119.13,110.867,102.809,95.8233,
-59.0098,-57.5541,-56.3089,-56.1401,-57.9007,-62.2379,
-0.154721,-0.18143,-0.103231,0.0798767,0.367893,0.760818,
136.844,128.386,119.928,111.396,95.8233,
-58.696,-57.4902,-56.2895,-56.0712,-62.2379,
-0.103603,-0.160454,-0.102437,0.0704474,0.760818,
136.253,111.174,95.8233,
-58.7503,-56.177,-62.2379,
-0.0997833,0.0691117,0.760818,
135.703,127.531,119.27,110.925,95.8233,
-58.7938,-57.0389,-55.7914,-55.7954,-62.2379,
-0.212781,-0.195488,-0.0894817,0.105238,0.760818,
136.479,128.091,119.709,111.259,102.996,95.8233,
-58.6655,-57.5496,-56.3846,-56.1599,-57.8547,-62.2379,
-0.0902137,-0.154738,-0.101897,0.0683097,0.355881,0.760818,
135.953,127.72,119.425,111.043,102.889,95.8233,
-58.9468,-57.3082,-56.0299,-55.9275,-57.7999,-62.2379,
-0.18579,-0.19088,-0.0987645,0.090557,0.377084,0.760818,
136.722,128.332,119.867,111.316,103.014,95.8233,
-58.7159,-56.9979,-55.7277,-55.6982,-57.6811,-62.2379,
-0.197701,-0.190862,-0.0915916,0.100112,0.384248,0.760818,
137.179,120.171,111.553,95.8233,
-59.246,-56.2739,-55.991,-62.2379,
-0.158064,-0.115662,0.0681144,0.760818,
137.556,129.024,111.703,95.8233,
-59.4579,-57.5836,-55.8172,-62.2379,
-0.204474,-0.211343,0.0748095,0.760818,
136.507,95.8233,
-59.0603,-62.2379,
-0.171429,0.760818,
136.308,128,119.649,111.204,95.8233,
-59.1582,-57.5666,-56.229,-56.0213,-62.2379,
-0.169882,-0.191347,-0.109009,0.0771309,0.760818,
135.344,126.485,117.643,108.833,101.802,95.8233,
-59.1944,-58.9918,-58.411,-57.4618,-58.3756,-62.2379,
-0.00116962,-0.0443956,-0.0866234,-0.127853,0.368806,0.760818,
137.709,129.065,120.41,111.691,103.194,95.8233,
-58.2448,-57.0245,-55.8884,-55.7894,-57.6649,-62.2379,
-0.108627,-0.153624,-0.0891786,0.0847104,0.368042,0.760818,
131.4,122.174,112.87,103.748,95.8233,
-57.3927,-56.0673,-55.7064,-57.458,-62.2379,
-0.153119,-0.111484,0.0547167,0.345484,0.760818,
136.876,128.386,119.914,111.389,95.8233,
-58.1433,-57.2909,-56.2653,-56.1014,-62.2379,
-0.0493474,-0.13053,-0.0901049,0.0719281,0.760818,
137.532,128.938,120.326,111.64,103.17,95.8233,
-58.5402,-57.1972,-55.9832,-55.8376,-57.6857,-62.2379,
-0.126398,-0.165582,-0.0964525,0.0809907,0.366747,0.760818,
