156.702,142.962,134.616,126.252,117.87,
-51.4846,-58.2543,-57.4557,-56.8944,-56.8105,
1.04914,-0.100047,-0.0859635,-0.0432771,0.0280122,
156.702,143.443,134.929,126.402,117.87,
-51.4846,-57.5676,-57.0062,-56.7445,-56.8105,
1.04914,-0.0823448,-0.048799,-0.0120133,0.0280122,
156.702,140.82,133.186,125.544,117.87,
-51.4846,-58.6254,-57.7815,-57.0228,-56.8105,
1.04914,-0.0956543,-0.114545,-0.0733227,0.0280122,
156.702,142.27,134.151,126.011,117.87,
-51.4846,-57.3853,-56.7865,-56.6585,-56.8105,
1.04914,-0.110418,-0.0407495,0.00539401,0.0280122,
156.702,141.339,133.55,125.72,117.87,
-51.4846,-58.4114,-57.4234,-56.8657,-56.8105,
1.04914,-0.150713,-0.100142,-0.040567,0.0280122,
156.702,134.785,126.329,117.87,
-51.4846,-56.9707,-56.7309,-56.8105,
1.04914,-0.0475195,-0.00933311,0.0280122,
156.702,131.292,124.604,117.87,
-51.4846,-57.8626,-57.0321,-56.8105,
1.04914,-0.153292,-0.0860133,0.0280122,
156.702,150.318,141.724,133.804,125.852,117.87,
-51.4846,-57.3758,-58.6997,-57.6797,-56.9607,-56.8105,
1.04914,0.445335,-0.135877,-0.114702,-0.060072,0.0280122,
156.702,143.6,135.038,126.461,117.87,
-51.4846,-58.1001,-57.3732,-56.8684,-56.8105,
1.04914,-0.0889254,-0.0761045,-0.0371253,0.0280122,
156.702,141.996,133.962,125.921,117.87,
-51.4846,-57.8642,-57.3009,-56.8635,-56.8105,
1.04914,-0.067127,-0.06753,-0.0358169,0.0280122,
156.702,152.078,145.76,138.923,131.98,124.941,117.87,
-51.4846,-56.5183,-59.1342,-58.9186,-57.5799,-56.8944,-56.8105,
1.04914,0.608337,0.178666,-0.239868,-0.142413,-0.0531197,0.0280122,
156.702,142.34,134.189,126.031,117.87,
-51.4846,-57.4222,-57.0101,-56.7661,-56.8105,
1.04914,-0.0559243,-0.042661,-0.0146822,0.0280122,
156.702,140.421,132.922,125.402,117.87,
-51.4846,-58.0049,-57.293,-56.8487,-56.8105,
1.04914,-0.106337,-0.079885,-0.0351019,0.0280122,
156.702,145.71,138.771,131.889,124.903,117.87,
-51.4846,-59.4589,-59.2737,-57.8104,-56.9706,-56.8105,
1.04914,0.196268,-0.252074,-0.165739,-0.0723766,0.0280122,
156.702,140.932,133.268,125.58,117.87,
-51.4846,-58.4363,-57.5669,-56.9361,-56.8105,
1.04914,-0.116989,-0.103166,-0.0548329,0.0280122,
156.702,142.545,134.329,126.111,117.87,
-51.4846,-58.3353,-57.6428,-56.9804,-56.8105,
1.04914,-0.0671982,-0.0916155,-0.0598787,0.0280122,
156.702,139.031,132.061,124.982,117.87,
-51.4846,-58.9624,-57.5538,-56.876,-56.8105,
1.04914,-0.257301,-0.144491,-0.0493867,0.0280122,
156.702,142.131,134.05,125.962,117.87,
-51.4846,-57.5164,-57.0747,-56.7886,-56.8105,
1.04914,-0.0579482,-0.0481222,-0.0194687,0.0280122,
156.702,142.422,134.258,126.077,117.87,
-51.4846,-58.5604,-57.6736,-56.9711,-56.8105,
1.04914,-0.104943,-0.104198,-0.0598791,0.0280122,
156.702,131.955,124.93,117.87,
-51.4846,-57.6459,-56.9235,-56.8105,
1.04914,-0.144973,-0.0596291,0.0280122,
156.702,141.471,133.625,117.87,
