196.97,189.153,181.34,173.528,165.712,158.305,
-1.7151,-1.59901,-1.34306,-1.07377,-0.917652,-11.1868,
-0.000507122,-0.0264975,-0.036299,-0.0299116,-0.00733526,1.34075,
188.986,181.135,173.138,165.36,159.841,158.305,
-0.700656,1.13364,2.01463,0.169317,-5.49659,-11.1868,
-0.215097,-0.206763,0.0244942,0.478676,1.15578,1.34075,
189.037,181.253,173.315,165.555,160.018,158.305,
-0.664685,1.25948,2.26243,0.541148,-5.04169,-11.1868,
-0.224875,-0.221891,0.00844498,0.466132,1.15117,1.34075,
196.97,188.981,180.993,173.005,165.016,158.305,
-1.7151,-1.78703,-1.93327,-2.03735,-1.9828,-11.1868,
-0.000507122,0.0160844,0.0180967,0.00552973,-0.0216165,1.34075,
189.19,181.443,173.68,165.893,160.358,158.305,
-1.29965,-0.459682,0.210085,0.113197,-4.18268,-11.1868,
-0.0934355,-0.10979,-0.0495708,0.0872222,1.10133,1.34075,
196.97,188.975,180.981,172.986,164.991,158.305,
-1.7151,-1.67676,-1.60505,-1.55276,-1.57268,-11.1868,
-0.000507122,-0.00798342,-0.00885601,-0.00312491,0.00920989,1.34075,
196.97,188.803,180.637,172.474,164.319,158.305,
-1.7151,-1.71827,-1.78694,-1.99744,-2.42595,-11.1868,
-0.000507122,0.00284061,0.0155366,0.0375809,0.0689734,1.34075,
196.97,189.025,181.082,173.138,165.193,158.305,
-1.7151,-1.77068,-1.88362,-1.96114,-1.91044,-11.1868,
-0.000507122,0.0125534,0.0139338,0.00363407,-0.0183457,1.34075,
188.927,180.944,172.904,164.911,160.141,158.305,
-1.06053,0.156825,0.838005,-0.119429,-4.65553,-11.1868,
-0.139089,-0.140742,-0.00546585,0.266739,1.14029,1.34075,
196.97,188.77,180.571,172.374,164.191,158.305,
-1.7151,-1.68957,-1.71043,-1.91133,-2.42564,-11.1868,
-0.000507122,-0.00300182,0.0108071,0.0409196,0.0873357,1.34075,
196.97,181.063,173.11,165.156,158.305,
-1.7151,-1.60947,-1.55385,-1.55894,-11.1868,
-0.000507122,-0.00884149,-0.00415963,0.00642158,1.34075,
189.385,181.802,174.225,166.656,160.644,158.305,
-1.65048,-1.456,-1.11921,-0.627751,-4.22818,-11.1868,
-0.0168065,-0.0347551,-0.0543527,-0.0755995,1.02219,1.34075,
196.97,188.913,180.858,172.801,164.749,158.305,
-1.7151,-1.59903,-1.40222,-1.33952,-1.6257,-11.1868,
-0.000507122,-0.0238607,-0.0205487,0.00942878,0.0660718,1.34075,
196.97,180.954,172.947,164.941,158.305,
-1.7151,-1.71045,-1.77789,-1.95154,-11.1868,
-0.000507122,0.00365423,0.0141229,0.0301836,1.34075,
189.246,181.543,173.848,166.136,160.252,158.305,
-1.43285,-0.784785,-0.0561158,0.468512,-3.77027,-11.1868,
-0.0663897,-0.095328,-0.0873221,-0.0423718,1.12766,1.34075,
189.31,181.65,173.993,166.363,158.305,
-1.77663,-1.81897,-1.61708,-0.946859,-11.1868,
0.0116762,-0.00552018,-0.0520963,-0.128052,1.34075,
189.022,181.14,173.211,165.266,160.127,158.305,
-1.08233,0.151834,1.01239,0.518303,-4.18325,-11.1868,
-0.137885,-0.152219,-0.0435095,0.188244,1.15983,1.34075,
188.928,180.902,172.859,164.846,158.305,
-1.35794,-0.718254,-0.430342,-1.12825,-11.1868,
-0.0751114,-0.0708074,0.0124049,0.174525,1.34075,
196.97,180.849,172.789,164.737,158.305,
-1.7151,-1.5759,-1.64322,-2.01074,-11.1868,
-0.000507122,-0.00379408,0.0237412,0.070729,1.34075,
188.874,180.78,172.684,164.592,159.917,158.305,
-1.58024,-1.33654,-1.21289,-1.43822,-5.1454,-11.1868,
-0.0280917,-0.0273995,0.00156932,0.0588149,1.13435,1.34075,
196.97,189.044,181.12,173.195,165.269,158.305,
-1.7151,-1.66168,-1.55014,-1.44149,-1.39675,-11.1868,
-0.000507122,-0.0116904,-0.0151747,-0.0109598,0.000954084,1.34075,
189.064,181.237,173.348,165.461,160.294,158.305,
-1.00354,0.361892,1.25187,0.529142,-4.22199,-11.1868,
-0.155128,-0.166412,-0.0343567,0.241036,1.131,1.34075,
189.342,181.83,174.253,166.606,160.655,158.305,
-0.919278,0.669827,1.88746,1.55565,-3.48633,-11.1868,
-0.181804,-0.209495,-0.0835796,0.195942,1.0983,1.34075,
189.35,181.773,174.18,166.55,160.591,158.305,
-1.25757,-0.311149,0.500881,0.553257,-3.83624,-11.1868,
-0.105777,-0.129064,-0.0703687,0.0703087,1.07445,1.34075,
196.97,189.066,181.163,173.26,165.357,158.305,
-1.7151,-1.76524,-1.8585,-1.89709,-1.78322,-11.1868,
-0.000507122,0.0111341,0.0104029,-0.00270048,-0.0281762,1.34075,
196.97,189.214,181.457,173.702,165.959,158.305,
-1.7151,-1.77159,-1.83495,-1.73424,-1.29878,-11.1868,
-0.000507122,0.0113993,0.00126544,-0.0309086,-0.0851227,1.34075,
189.069,181.179,173.279,165.385,160.293,158.305,
-1.42708,-0.886906,-0.567607,-0.94262,-4.84104,-11.1868,
-0.0623829,-0.0643622,-0.0064449,0.111369,1.07662,1.34075,
196.97,189.269,181.57,173.874,166.184,158.305,
-1.7151,-1.65917,-1.49431,-1.21319,-0.808544,-11.1868,
-0.000507122,-0.0141769,-0.0288019,-0.0443821,-0.0609175,1.34075,
196.97,189.08,181.212,173.326,165.444,158.305,
-1.7151,-1.34134,-0.630209,-0.183204,-0.60287,-11.1868,
-0.000507122,-0.0814553,-0.0860966,-0.014431,0.133541,1.34075,
189.074,181.314,173.438,165.596,160.441,158.305,
-0.762287,1.04547,2.1731,1.06839,-4.05832,-11.1868,
-0.207062,-0.218123,-0.0336893,0.346239,1.12457,1.34075,
189.16,181.391,173.598,165.783,160.346,158.305,
-1.22607,-0.257102,0.461101,0.194869,-4.21038,-11.1868,
-0.108936,-0.123614,-0.0445407,0.128284,1.10726,1.34075,
189.034,181.213,173.288,165.423,160.409,158.305,
-0.824514,0.845753,1.82794,0.642901,-4.29953,-11.1868,
-0.192039,-0.197804,-0.0178029,0.347965,1.11675,1.34075,
196.97,188.775,180.58,172.385,164.223,158.305,
-1.7151,-1.59132,-1.43566,-1.55913,-2.27171,-11.1868,
-0.000507122,-0.0233731,-0.00828806,0.044748,0.135735,1.34075,
189.127,181.374,173.544,165.739,160.492,158.305,
-0.943486,0.519894,1.42531,0.51396,-4.25495,-11.1868,
-0.168964,-0.17749,-0.0260831,0.285255,1.0952,1.34075,
188.82,180.718,172.561,164.511,158.305,
-1.08264,0.0453097,0.533132,-0.752447,-11.1868,
-0.131141,-0.122278,0.0260815,0.313937,1.34075,
189.243,181.608,173.925,166.18,160.425,158.305,
-1.00938,0.410545,1.52521,1.3064,-3.61565,-11.1868,
-0.159564,-0.186064,-0.0800066,0.158607,1.12831,1.34075,
196.97,188.788,180.606,172.427,164.259,158.305,
-1.7151,-1.70331,-1.74709,-1.95265,-2.42603,-11.1868,
-0.000507122,-0.0002097,0.0130745,0.0393456,0.0786034,1.34075,
189.112,181.314,173.463,165.635,160.44,158.305,
-1.07844,0.124326,0.852855,0.0620523,-4.44728,-11.1868,
-0.139057,-0.144899,-0.0180348,0.241537,1.08806,1.34075,
189.272,181.609,166.222,160.536,158.305,
-1.28106,-0.410029,0.114972,-4.157,-11.1868,
-0.0984458,-0.114205,0.100817,1.06966,1.34075,
189.366,181.798,174.216,166.603,158.305,
-1.29303,-0.425697,0.303566,0.309748,-11.1868,
-0.0975869,-0.117804,-0.0611588,0.0723491,1.34075,
196.97,189.044,181.127,173.201,165.283,158.305,
-1.7151,-1.46342,-1.00017,-0.750481,-1.13967,-11.1868,
-0.000507122,-0.0540371,-0.0539113,-0.000129876,0.107307,1.34075,
189.177,181.398,173.616,165.82,160.301,158.305,
-1.45289,-0.900606,-0.397066,-0.281348,-4.31482,-11.1868,
-0.059508,-0.074999,-0.0469803,0.0245483,1.09698,1.34075,
196.97,181.176,173.28,165.381,158.305,
-1.7151,-1.29141,-1.02836,-0.962736,-11.1868,
-0.000507122,-0.0384723,-0.0244701,0.0115221,1.34075,
196.97,189.041,181.114,173.185,165.257,158.305,
-1.7151,-1.6471,-1.5192,-1.43343,-1.49185,-11.1868,
-0.000507122,-0.0144995,-0.0156204,-0.00386994,0.0207519,1.34075,
196.97,181.57,173.873,166.164,158.305,
-1.7151,-0.928488,-0.461329,-0.398448,-11.1868,
-0.000507122,-0.0721367,-0.0417434,0.0327884,1.34075,
188.936,180.905,172.87,164.845,160.1,158.305,
-1.57434,-1.33779,-1.27179,-1.64254,-5.25002,-11.1868,
-0.0290072,-0.0243545,0.0134511,0.0844094,1.0882,1.34075,
196.97,189.174,181.38,173.591,165.812,158.305,
-1.7151,-1.65842,-1.47872,-1.14968,-0.645064,-11.1868,
-0.000507122,-0.014597,-0.0320723,-0.0529331,-0.0771794,1.34075,
196.97,180.978,172.982,164.986,158.305,
-1.7151,-1.91248,-2.00198,-1.94019,-11.1868,
-0.000507122,0.0161143,0.00400152,-0.021727,1.34075,
196.97,188.881,180.796,172.706,164.635,158.305,
-1.7151,-1.51001,-1.16167,-1.05793,-1.58633,-11.1868,
-0.000507122,-0.0421971,-0.0359334,0.0182842,0.120456,1.34075,
196.97,189.212,181.465,173.716,165.956,158.305,
-1.7151,-1.48751,-1.00831,-0.570546,-0.467413,-11.1868,
-0.000507122,-0.051852,-0.0654026,-0.0411589,0.0208792,1.34075,
196.97,181.185,173.292,165.398,158.305,
-1.7151,-1.35567,-1.17607,-1.23094,-11.1868,
-0.000507122,-0.0301799,-0.0116118,0.0292259,1.34075,
188.937,181.051,173.006,165.183,159.755,158.305,
-0.651041,1.27992,2.2309,0.352614,-5.46254,-11.1868,
-0.224383,-0.217365,0.0205444,0.489347,1.18904,1.34075,
196.97,188.845,180.721,172.597,164.477,158.305,
-1.7151,-1.72692,-1.79035,-1.93499,-2.19043,-11.1868,
-0.000507122,0.0040236,0.0121983,0.0240171,0.0394799,1.34075,
196.97,181.143,173.228,165.316,158.305,
-1.7151,-1.1961,-1.00624,-1.26536,-11.1868,
-0.000507122,-0.0396276,-0.00197782,0.073812,1.34075,
189.327,181.75,174.139,166.483,160.615,158.305,
-1.11167,0.0998391,1.04222,0.832607,-3.80196,-11.1868,
-0.13787,-0.160066,-0.0670933,0.141047,1.08094,1.34075,
196.97,189.1,181.23,173.36,165.49,158.305,
-1.7151,-1.65801,-1.53838,-1.42168,-1.37337,-11.1868,
-0.000507122,-0.0126137,-0.0164011,-0.0118696,0.00098099,1.34075,
189.038,181.107,173.175,165.243,160.198,158.305,
-1.66148,-1.55973,-1.48647,-1.51831,-5.04154,-11.1868,
-0.0114038,-0.0126416,-0.00422059,0.0138593,1.07146,1.34075,
196.97,188.827,180.684,172.543,164.409,158.305,
-1.7151,-1.72996,-1.81642,-2.02487,-2.40561,-11.1868,
-0.000507122,0.00518972,0.0170772,0.0351554,0.0594242,1.34075,
188.908,180.954,172.869,165.074,159.626,158.305,
-0.753871,0.942037,1.62432,-0.44088,-6.27384,-11.1868,
-0.200588,-0.183344,0.0512253,0.503119,1.17234,1.34075,
196.97,189.007,181.045,173.082,165.121,158.305,
-1.7151,-1.63887,-1.50721,-1.45351,-1.61116,-11.1868,
-0.000507122,-0.0158459,-0.0144316,0.00373588,0.0386565,1.34075,
189.096,181.224,173.352,165.478,160.286,158.305,
-1.60667,-1.39273,-1.2283,-1.26841,-4.88903,-11.1868,
-0.0237523,-0.0273087,-0.0111763,0.0246449,1.06391,1.34075,
188.927,180.889,172.85,164.807,159.891,158.305,
-1.56587,-1.25452,-0.9732,-0.914099,-4.78179,-11.1868,
-0.0326172,-0.0408303,-0.0251466,0.014434,1.15578,1.34075,
196.97,180.966,172.963,164.962,158.305,
-1.7151,-1.37668,-1.25872,-1.44067,-11.1868,
-0.000507122,-0.0251754,-0.000151922,0.0497766,1.34075,
196.97,188.93,180.892,172.851,164.824,158.305,
-1.7151,-1.57622,-1.3527,-1.32195,-1.76113,-11.1868,
-0.000507122,-0.028287,-0.0215629,0.0196654,0.0953977,1.34075,
189.209,181.476,173.736,165.967,160.325,158.305,
-1.33311,-0.537482,0.160567,0.24882,-4.04797,-11.1868,
-0.0868529,-0.107231,-0.0616405,0.0499177,1.11067,1.34075,
196.97,181.182,173.289,165.394,158.305,
-1.7151,-1.48067,-1.31996,-1.24253,-11.1868,
-0.000507122,-0.0220768,-0.0168606,-0.000977087,1.34075,
