-44.6653,-56.3606,-57.8211,-57.3979,-56.9045,-56.7454,
1.52568,0.439833,-0.0345391,-0.0717234,-0.0537064,0.0195119,
157.983,145.448,137.197,128.949,120.698,
-44.6653,-57.033,-56.9948,-56.7845,-56.7454,
1.52568,0.019684,-0.0219961,-0.0220534,0.0195119,
157.983,141.521,134.625,127.663,120.698,
-44.6653,-57.7682,-56.819,-56.6229,-56.7454,
1.52568,-0.212071,-0.0720005,0.00519387,0.0195119,
157.983,140.651,134.062,127.398,120.698,
-44.6653,-58.8538,-57.6237,-56.9064,-56.7454,
1.52568,-0.221308,-0.146869,-0.0665952,0.0195119,
157.983,142.938,135.542,120.698,
-44.6653,-57.5617,-56.9231,-56.7454,
1.52568,-0.119819,-0.0554244,0.0195119,
157.983,141.295,134.47,127.606,120.698,
-44.6653,-58.9223,-57.8112,-56.9916,-56.7454,
1.52568,-0.169134,-0.146875,-0.083993,0.0195119,
157.983,145.06,136.939,128.819,120.698,
-44.6653,-56.8242,-56.8572,-56.7398,-56.7454,
1.52568,0.0245797,-0.0108133,-0.0125025,0.0195119,
157.983,145.056,136.936,128.819,120.698,
-44.6653,-57.2364,-57.0795,-56.8051,-56.7454,
1.52568,0.00154672,-0.0333749,-0.0273865,0.0195119,
157.983,150.333,143.53,135.92,128.309,120.698,
-44.6653,-55.5665,-56.9449,-56.7817,-56.6919,-56.7454,
1.52568,0.433039,-0.0232066,-0.018151,-0.00391151,0.0195119,
157.983,145.73,137.385,129.043,120.698,
-44.6653,-57.0691,-57.1614,-56.8632,-56.7454,
1.52568,0.0572712,-0.0237385,-0.0363249,0.0195119,
157.983,155.719,150.206,143.023,135.595,128.149,120.698,
-44.6653,-51.5924,-56.3572,-57.5829,-56.9921,-56.7272,-56.7454,
1.52568,0.984045,0.441069,-0.103245,-0.0565026,-0.0155836,0.0195119,
157.983,144.628,136.652,120.698,
-44.6653,-56.9038,-56.7421,-56.7454,
1.52568,-0.0242834,-0.0153312,0.0195119,
157.983,144.402,136.503,128.601,120.698,
-44.6653,-56.147,-56.4361,-56.6058,-56.7454,
1.52568,0.0479035,0.0271516,0.0176878,0.0195119,
157.983,144.982,136.887,128.794,120.698,
-44.6653,-56.9848,-57.0389,-56.8129,-56.7454,
1.52568,0.0420534,-0.019645,-0.0271588,0.0195119,
157.983,141.069,134.321,127.518,120.698,
-44.6653,-58.2645,-57.281,-56.7999,-56.7454,
1.52568,-0.185594,-0.105757,-0.0373884,0.0195119,
157.983,155.488,149.241,141.057,134.322,127.531,120.698,
-44.6653,-52.5564,-57.9598,-58.9294,-57.7469,-56.959,-56.7454,
1.52568,0.996137,0.422804,-0.194316,-0.148971,-0.0776944,0.0195119,
157.983,146.051,137.603,129.15,120.698,
-44.6653,-56.414,-56.6608,-56.6849,-56.7454,
1.52568,0.0525791,0.010924,-9.83872e-05,0.0195119,
157.983,144.55,136.605,128.652,120.698,
-44.6653,-56.0061,-56.4057,-56.606,-56.7454,
1.52568,0.0685872,0.0348104,0.018452,0.0195119,
157.983,145.185,137.02,128.862,120.698,
-44.6653,-57.2885,-57.2865,-56.9025,-56.7454,
1.52568,0.0479912,-0.0360689,-0.045562,0.0195119,
157.983,149.694,142.333,135.129,127.917,120.698,
-44.6653,-56.3315,-57.5737,-57.1007,-56.7841,-56.7454,
1.52568,0.413233,-0.070808,-0.0575233,-0.0274167,0.0195119,
157.983,144.282,136.416,128.565,120.698,
-44.6653,-57.8791,-57.6031,-56.9972,-56.7454,
1.52568,0.0148922,-0.0705438,-0.0690039,0.0195119,
157.983,150.453,143.5,135.91,128.304,120.698,
-44.6653,-55.9872,-57.1905,-56.7064,-56.6269,-56.7454,
1.52568,0.442173,-0.0993985,-0.0325326,0.00710426,0.0195119,
157.983,140.757,134.12,127.422,120.698,
-44.6653,-58.5508,-57.4644,-56.8603,-56.7454,
1.52568,-0.198254,-0.126189,-0.0536002,0.0195119,
157.983,146.118,137.297,128.998,120.698,
-44.6653,-56.0869,-56.8069,-56.7378,-56.7454,
1.52568,0.211515,0.00104627,-0.0106954,0.0195119,
157.983,137.844,129.273,120.698,
-44.6653,-57.0731,-56.82,-56.7454,
1.52568,-0.0221156,-0.0280118,0.0195119,
157.983,150.464,143.422,135.854,128.282,120.698,
-44.6653,-56.3427,-57.8044,-57.2908,-56.8512,-56.7454,
1.52568,0.470155,-0.0612146,-0.068594,-0.0416852,0.0195119,
