157.967,156.578,138.378,
-21.7548,-47.5337,-56.5736,
1.572,1.32554,-0.00685422,
157.967,157.995,157.47,138.378,
-21.7548,-38.2237,-46.4396,-56.5736,
1.572,1.54353,1.46294,-0.00685422,
157.967,158.331,158.717,158.099,138.378,
-21.7548,-30.4985,-39.2414,-47.9612,-56.5736,
1.572,1.6332,1.57705,1.40355,-0.00685422,
157.967,158.103,157.982,156.848,152.6,138.378,
-21.7548,-30.6967,-39.6369,-48.4985,-54.2182,-56.5736,
1.572,1.58579,1.51456,1.35832,0.563113,-0.00685422,
157.967,158.07,157.159,138.378,
-21.7548,-30.3186,-47.4008,-56.5736,
1.572,1.58276,1.40881,-0.00685422,
157.967,157.98,157.787,157.063,153.3,138.378,
-21.7548,-29.5314,-37.3048,-45.0451,-51.9353,-56.5736,
1.572,1.56615,1.51864,1.42948,0.746802,-0.00685422,
157.967,157.993,157.75,156.792,152.939,146.105,138.378,
-21.7548,-29.6619,-37.5641,-45.4082,-52.0397,-55.6664,-56.5736,
1.572,1.56662,1.50418,1.38468,0.73536,0.271515,-0.00685422,
157.967,156.033,138.378,
-21.7548,-48.2369,-56.5736,
1.572,1.25214,-0.00685422,
157.967,157.675,156.921,155.919,138.378,
-21.7548,-30.3089,-38.8357,-47.3373,-56.5736,
1.572,1.50552,1.46391,1.44717,-0.00685422,
157.967,157.822,157.308,156.337,138.378,
-21.7548,-29.9555,-38.1409,-46.2844,-56.5736,
1.572,1.53245,1.48195,1.4205,-0.00685422,
157.967,158.039,157.912,157.1,138.378,
-21.7548,-29.8812,-38.0058,-46.0874,-56.5736,
1.572,1.57742,1.52291,1.40848,-0.00685422,
157.967,158.061,157.935,157.011,138.378,
-21.7548,-30.6942,-39.6321,-48.5185,-56.5736,
1.572,1.57983,1.52274,1.40073,-0.00685422,
157.967,157.992,157.693,156.545,138.378,
-21.7548,-29.9777,-38.1934,-46.3294,-56.5736,
1.572,1.56486,1.49328,1.35726,-0.00685422,
157.967,158.28,158.485,157.521,138.378,
-21.7548,-30.5838,-39.4148,-48.1836,-56.5736,
1.572,1.62028,1.54781,1.35461,-0.00685422,
157.967,158.555,157.592,138.378,
-21.7548,-39.2151,-47.8835,-56.5736,
1.572,1.55116,1.34783,-0.00685422,
157.967,157.817,157.413,156.848,153.356,138.378,
-21.7548,-29.425,-37.0862,-44.7374,-51.8133,-56.5736,
1.572,1.53263,1.50556,1.49079,0.770908,-0.00685422,
158.113,157.259,158.418,158.086,153.105,143.914,138.378,
-19.7291,-29.3668,-39.034,-48.7197,-56.858,-58.2038,-56.5736,
1.25793,1.64645,1.67353,1.33915,0.643323,-0.413954,-0.00685422,
157.967,157.98,157.827,157.255,138.378,
-21.7548,-30.9527,-40.149,-49.3278,-56.5736,
1.572,1.5678,1.53597,1.47651,-0.00685422,
157.967,157.951,157.654,156.73,138.378,
-21.7548,-29.9383,-38.1154,-46.2433,-56.5736,
1.572,1.55875,1.5031,1.40506,-0.00685422,
157.967,157.629,156.24,138.378,
-21.7548,-39.2286,-47.8507,-56.5736,
1.572,1.48221,1.3278,-0.00685422,
157.967,157.332,138.378,
-21.7548,-47.6568,-56.5736,
1.572,1.44421,-0.00685422,
157.967,157.372,156.437,138.378,
-21.7548,-38.816,-47.3014,-56.5736,
1.572,1.49065,1.42908,-0.00685422,
157.967,157.093,138.378,
-21.7548,-48.4551,-56.5736,
1.572,1.24324,-0.00685422,
157.967,157.107,156.603,138.378,
-21.7548,-39.609,-48.5339,-56.5736,
1.572,1.50256,1.5336,-0.00685422,
157.967,158.258,157.408,138.378,
-21.7548,-38.7502,-47.1989,-56.5736,
1.572,1.54103,1.38431,-0.00685422,
157.967,157.011,138.378,
-21.7548,-47.0958,-56.5736,
1.572,1.34618,-0.00685422,
157.967,157.855,157.361,156.279,138.378,
-21.7548,-30.6598,-39.5509,-48.3887,-56.5736,
1.572,1.54067,1.48601,1.40804,-0.00685422,
157.967,157.879,157.399,156.235,152.385,138.378,
-21.7548,-30.1029,-38.4365,-46.7002,-52.8442,-56.5736,
1.572,1.54269,1.47793,1.37772,0.683585,-0.00685422,
157.967,158.325,158.484,157.113,138.378,
-21.7548,-30.5417,-39.3319,-47.9961,-56.5736,
1.572,1.62565,1.52676,1.27532,-0.00685422,
157.967,156.934,138.378,
-21.7548,-47.5868,-56.5736,
1.572,1.33268,-0.00685422,
157.967,157.058,156.588,138.378,
-21.7548,-38.5086,-46.8861,-56.5736,
1.572,1.49733,1.54123,-0.00685422,
157.967,157.471,156.581,138.378,
-21.7548,-39.1606,-47.8218,-56.5736,
1.572,1.49959,1.43408,-0.00685422,
157.967,158.016,158.022,157.806,138.378,
-21.7548,-29.8966,-38.0384,-46.177,-56.5736,
1.572,1.57789,1.56162,1.5232,-0.00685422,
157.967,157.914,156.377,138.378,
-21.7548,-30.0664,-46.5983,-56.5736,
1.572,1.54976,1.3782,-0.00685422,
157.967,158.081,157.894,156.651,138.378,
-21.7548,-30.0202,-38.282,-46.4435,-56.5736,
1.572,1.58179,1.4993,1.32453,-0.00685422,
157.967,157.983,157.918,157.629,153.789,138.378,
-21.7548,-30.0565,-38.3577,-46.6539,-53.4118,-56.5736,
1.572,1.57069,1.55231,1.51687,0.651576,-0.00685422,
157.967,158.082,138.378,
-21.7548,-48.2604,-56.5736,
1.572,1.42799,-0.00685422,
157.967,156.607,155.541,138.378,
-21.7548,-38.3843,-46.6646,-56.5736,
1.572,1.44096,1.4531,-0.00685422,
157.967,158.248,157.399,138.378,
-21.7548,-30.1308,-46.8169,-56.5736,
1.572,1.61663,1.34238,-0.00685422,
157.967,157.935,156.806,138.378,
-21.7548,-38.7579,-47.1773,-56.5736,
1.572,1.50949,1.35147,-0.00685422,
157.967,156.477,138.378,
-21.7548,-49.0707,-56.5736,
1.572,1.19919,-0.00685422,
157.967,157.911,157.484,156.327,138.378,
-21.7548,-30.6192,-39.4722,-48.2572,-56.5736,
1.572,1.55031,1.48798,1.385,-0.00685422,
157.967,158.082,156.628,138.378,
-21.7548,-30.4679,-47.7887,-56.5736,
1.572,1.58132,1.33344,-0.00685422,
157.967,156.614,138.378,
-21.7548,-48.2735,-56.5736,
1.572,1.25079,-0.00685422,
157.967,158.138,158.07,156.926,138.378,
-21.7548,-30.6207,-39.4862,-48.2691,-56.5736,
1.572,1.59244,1.51802,1.34873,-0.00685422,
