-0.00050714,-0.0620128,-0.0661842,
245.314,235.872,226.438,
-1.50156,-1.26347,-0.793989,
-0.017153,-0.0353654,-0.0661842,
244.735,235.584,226.438,
-1.60827,-1.25266,-0.793989,
-0.0436522,-0.0392525,-0.0661842,
244.439,233.548,226.438,
-1.73917,-1.31237,-0.793989,
-0.00050714,-0.0779867,-0.0661842,
244.439,238.838,233.247,226.438,
-1.73917,-1.62478,-1.29252,-0.793989,
-0.00050714,-0.0401129,-0.0783601,-0.0661842,
244.987,235.714,226.438,
-2.06026,-1.39935,-0.793989,
-0.0781646,-0.0661522,-0.0661842,
245.296,235.865,226.438,
-1.80389,-1.32821,-0.793989,
-0.053767,-0.0502631,-0.0661842,
244.636,226.438,
-1.66527,-0.793989,
-0.0168431,-0.0661842,
244.876,226.438,
-2.16807,-0.793989,
-0.0869828,-0.0661842,
244.919,235.673,226.438,
-1.72321,-1.3673,-0.793989,
-0.0191396,-0.054025,-0.0661842,
244.439,239.16,233.889,226.438,
-1.73917,-1.64257,-1.33092,-0.793989,
-0.00050714,-0.0373831,-0.0820371,-0.0661842,
244.791,226.438,
-2.00413,-0.793989,
-0.0637394,-0.0661842,
245.057,226.438,
-1.60311,-0.793989,
-0.0223217,-0.0661842,
244.898,235.672,226.438,
-1.92282,-1.30055,-0.793989,
-0.0912613,-0.0522468,-0.0661842,
243.793,235.109,226.438,
-1.5721,-1.33214,-0.793989,
0.00252434,-0.0512893,-0.0661842,
244.439,233.554,226.438,
-1.73917,-1.29537,-0.793989,
-0.00050714,-0.0728005,-0.0661842,
244.439,233.31,226.438,
-1.73917,-1.25897,-0.793989,
-0.00050714,-0.069448,-0.0661842,
244.439,238.776,233.121,226.438,
-1.73917,-1.63704,-1.30317,-0.793989,
-0.00050714,-0.0370316,-0.0824023,-0.0661842,
244.439,232.482,226.438,
-1.73917,-1.24582,-0.793989,
-0.00050714,-0.0825858,-0.0661842,
244.439,232.847,226.438,
-1.73917,-1.28036,-0.793989,
-0.00050714,-0.0809381,-0.0661842,
244.439,233.677,226.438,
-1.73917,-1.28849,-0.793989,
-0.00050714,-0.0703998,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
243.903,235.17,226.438,
-1.82407,-1.32194,-0.793989,
-0.0602678,-0.0567511,-0.0661842,
244.613,226.438,
-1.90207,-0.793989,
-0.0346683,-0.0661842,
244.439,238.761,233.09,226.438,
-1.73917,-1.5821,-1.2389,-0.793989,
-0.00050714,-0.049429,-0.0660961,-0.0661842,
244.439,231.46,226.438,
-1.73917,-1.18628,-0.793989,
-0.00050714,-0.0904554,-0.0661842,
244.007,235.218,226.438,
-1.35298,-1.19338,-0.793989,
-0.0115895,-0.0282669,-0.0661842,
244.197,235.318,226.438,
-1.71253,-1.24871,-0.793989,
-0.0682345,-0.0439082,-0.0661842,
244.439,231.818,226.438,
-1.73917,-1.19248,-0.793989,
-0.00050714,-0.0869044,-0.0661842,
245.111,226.438,
-2.14159,-0.793989,
-0.082855,-0.0661842,
244.266,226.438,
-1.59108,-0.793989,
0.00314555,-0.0661842,
244.906,235.667,226.438,
-1.63899,-1.32856,-0.793989,
-0.0176432,-0.0476252,-0.0661842,
