92.3106,89.6901,88.8059,89.8549,
-219.991,-227.747,-235.898,-260.493,
1.10754,1.36808,1.54315,1.55548,
91.9197,89.9126,89.206,89.8549,
-220.372,-228.194,-236.244,-260.493,
1.21646,1.41207,1.54377,1.55548,
91.9665,89.8549,
-219.957,-260.493,
1.24021,1.55548,
92.4394,89.8549,
-219.961,-260.493,
1.1842,1.55548,
92.3835,90.4877,89.8549,
-220.258,-228.128,-260.493,
1.24874,1.4116,1.55548,
92.1169,89.5363,89.8549,
-220.08,-236.092,-260.493,
1.25376,1.53297,1.55548,
91.6445,89.6716,89.8549,
-220.171,-244.308,-260.493,
1.33774,1.58325,1.55548,
92.4146,89.7379,89.8549,
-220.33,-244.334,-260.493,
1.28386,1.57264,1.55548,
92.8936,89.5598,89.8549,
-219.872,-235.869,-260.493,
1.17311,1.51541,1.55548,
92.277,90.6355,89.8549,
-219.995,-227.964,-260.493,
1.29818,1.43041,1.55548,
91.6325,89.8318,89.8549,
-220.604,-252.489,-260.493,
1.34658,1.58587,1.55548,
92.243,90.2,89.8549,
-220.16,-228.018,-260.493,
1.21782,1.40511,1.55548,
91.8971,89.8549,
-220.144,-260.493,
1.30469,1.55548,
91.7675,89.7833,89.8549,
-220.009,-236.114,-260.493,
1.33562,1.53584,1.55548,
91.7053,89.9923,89.3756,89.4355,89.8549,
-220.448,-228.31,-236.337,-244.391,-260.493,
1.26939,1.43415,1.54513,1.60235,1.55548,
92.7635,90.5135,89.8549,
-219.962,-227.819,-260.493,
1.18962,1.38405,1.55548,
92.0227,90.3683,89.8549,
-219.959,-227.931,-260.493,
1.29077,1.43407,1.55548,
91.0469,89.935,89.8549,
-220.317,-228.29,-260.493,
1.3746,1.48379,1.55548,
91.9961,89.8549,
-219.962,-260.493,
1.30233,1.55548,
92.542,89.8549,
-220.184,-260.493,
1.27674,1.55548,
92.0041,90.484,89.8239,89.712,89.8549,
-219.487,-227.577,-235.785,-244.02,-260.493,
1.31936,1.44428,1.53035,1.57757,1.55548,
92.2662,89.8549,
