196.48,180.259,172.152,164.108,158.005,
-1.71485,-1.3995,-1.6194,-2.62837,-12.3842,
-0.000507123,-0.00505783,0.0676221,0.190272,1.3638,
196.48,188.611,180.768,172.898,165.06,158.005,
-1.71485,-1.28573,-0.500459,-0.0978571,-0.817235,-12.3842,
-0.000507123,-0.0927957,-0.0911116,0.00454519,0.194175,1.3638,
188.619,180.819,172.954,165.18,158.005,
-1.03615,0.198068,0.805834,-0.39554,-12.3842,
-0.146636,-0.14213,0.013012,0.31879,1.3638,
196.48,188.624,180.768,172.913,165.061,158.005,
-1.71485,-1.69401,-1.69022,-1.77964,-2.03837,-12.3842,
-0.000507123,-0.00318342,0.00383452,0.0205467,0.0469531,1.3638,
196.48,188.663,180.848,173.031,165.224,158.005,
-1.71485,-1.58837,-1.38269,-1.34647,-1.72825,-12.3842,
-0.000507123,-0.026549,-0.0207754,0.0168136,0.0862181,1.3638,
196.48,188.473,180.469,172.462,164.472,158.005,
-1.71485,-1.55922,-1.31105,-1.28616,-1.8,-12.3842,
-0.000507123,-0.0317901,-0.0236257,0.023986,0.111045,1.3638,
196.48,188.557,180.644,172.717,164.846,158.005,
-1.71485,-1.39704,-0.86462,-0.736397,-1.62916,-12.3842,
-0.000507123,-0.0666547,-0.0546963,0.0353682,0.203539,1.3638,
196.48,180.959,173.199,165.439,158.005,
-1.71485,-1.64144,-1.63324,-1.71309,-12.3842,
-0.000507123,-0.00450468,0.00350478,0.0181864,1.3638,
196.48,188.762,181.067,173.349,165.655,158.005,
-1.71485,-1.31541,-0.579332,-0.186257,-0.816447,-12.3842,
-0.000507123,-0.0882264,-0.0878141,0.000729824,0.177405,1.3638,
196.48,188.351,180.223,172.097,164.051,158.005,
-1.71485,-1.53037,-1.30532,-1.51983,-2.64975,-12.3842,
-0.000507123,-0.0350302,-0.0104887,0.0731176,0.215789,1.3638,
196.48,188.488,180.506,172.51,164.558,158.005,
-1.71485,-1.41176,-0.895671,-0.743615,-1.53138,-12.3842,
-0.000507123,-0.0632703,-0.0538249,0.0278292,0.181692,1.3638,
196.48,188.312,180.145,171.982,163.891,158.005,
-1.71485,-1.56927,-1.41856,-1.67925,-2.76426,-12.3842,
-0.000507123,-0.0266368,-0.00176312,0.074114,0.200994,1.3638,
188.617,180.837,172.965,165.237,158.005,
-0.92011,0.515155,1.19337,-0.28227,-12.3842,
-0.171268,-0.163872,0.021682,0.385393,1.3638,
196.48,188.472,180.491,172.473,164.579,158.005,
-1.71485,-1.2051,-0.336124,-0.0834072,-1.41628,-12.3842,
-0.000507123,-0.106317,-0.0902874,0.0475823,0.307292,1.3638,
196.48,188.427,180.375,172.322,164.293,158.005,
-1.71485,-1.58384,-1.39859,-1.45845,-2.06212,-12.3842,
-0.000507123,-0.0258315,-0.0139809,0.0350445,0.121245,1.3638,
196.48,188.445,180.428,172.386,164.44,158.005,
-1.71485,-1.28693,-0.564879,-0.377545,-1.54938,-12.3842,
-0.000507123,-0.088712,-0.0737528,0.0443705,0.265658,1.3638,
188.581,180.707,172.803,164.964,158.005,
-1.25371,-0.437391,-0.102044,-1.08239,-12.3842,
-0.0984628,-0.0905064,0.0233618,0.243142,1.3638,
196.48,188.798,181.151,173.472,165.816,158.005,
-1.71485,-1.22861,-0.321297,0.195491,-0.491589,-12.3842,
-0.000507123,-0.10829,-0.110277,-0.00647008,0.203132,1.3638,
196.48,188.666,180.862,173.048,165.243,158.005,
-1.71485,-1.45391,-0.970518,-0.701354,-1.08334,-12.3842,
-0.000507123,-0.0569396,-0.0574659,-0.00208604,0.1092,1.3638,
196.48,188.264,180.049,171.838,163.715,158.005,
-1.71485,-1.54021,-1.34477,-1.60862,-2.80695,-12.3842,
-0.000507123,-0.0322594,-0.00557157,0.0795565,0.223125,1.3638,
188.723,181.007,173.251,165.532,158.005,
-1.18353,-0.200172,0.335867,-0.47649,-12.3842,
-0.116925,-0.117229,-0.00141945,0.230503,1.3638,
196.48,188.63,180.788,172.936,165.121,158.005,
-1.71485,-1.44052,-0.976499,-0.84886,-1.5826,-12.3842,
-0.000507123,-0.0581893,-0.0488487,0.0275145,0.170901,1.3638,
196.48,188.593,180.72,172.83,164.97,158.005,
-1.71485,-1.38279,-0.788848,-0.523431,-1.1767,-12.3842,
-0.000507123,-0.071167,-0.0669435,0.0121634,0.166154,1.3638,
196.48,188.462,180.447,172.428,164.444,158.005,
-1.71485,-1.54592,-1.29638,-1.33982,-2.04872,-12.3842,
-0.000507123,-0.0338604,-0.0206179,0.0392203,0.145654,1.3638,
188.778,181.132,173.438,165.761,160.145,158.005,
-1.10365,0.0538956,0.763365,0.0257824,-4.9539,-12.3842,
-0.136296,-0.142672,-0.0196372,0.23281,1.11207,1.3638,
188.663,180.897,173.076,165.33,158.005,
-1.09565,0.0312478,0.588548,-0.501704,-12.3842,
-0.134576,-0.13062,0.0113581,0.29136,1.3638,
196.48,188.589,180.701,172.814,164.923,158.005,
-1.71485,-1.82568,-2.08016,-2.34937,-2.50437,-12.3842,
-0.000507123,0.0258716,0.0359084,0.0296033,0.00695633,1.3638,
188.678,180.943,173.137,165.426,160.166,158.005,
-1.00743,0.281719,0.925107,-0.306005,-5.29528,-12.3842,
-0.154062,-0.149964,0.0117878,0.331192,1.10128,1.3638,
196.48,188.391,180.302,172.215,164.183,158.005,
-1.71485,-1.55671,-1.35998,-1.52881,-2.4649,-12.3842,
-0.000507123,-0.0302594,-0.0100495,0.0601225,0.180257,1.3638,
196.48,180.171,172.015,163.959,158.005,
-1.71485,-1.11751,-1.26636,-2.49823,-12.3842,
-0.000507123,-0.0242632,0.0728738,0.242687,1.3638,
188.679,180.952,173.154,165.414,160.073,158.005,
-0.992139,0.352456,1.10749,0.0564248,-5.07105,-12.3842,
-0.158289,-0.160359,-0.00671538,0.302641,1.12808,1.3638,
196.48,180.563,172.602,164.685,158.005,
-1.71485,-1.20137,-1.22669,-2.02599,-12.3842,
-0.000507123,-0.027084,0.0426713,0.167789,1.3638,
196.48,188.611,180.756,172.883,165.063,158.005,
-1.71485,-1.36319,-0.758406,-0.562893,-1.43738,-12.3842,
-0.000507123,-0.0747821,-0.0648651,0.0292437,0.207544,1.3638,
196.48,188.319,180.158,172.004,163.894,158.005,
-1.71485,-1.64487,-1.6246,-1.92598,-2.81922,-12.3842,
-0.000507123,-0.0110858,0.0116729,0.0677688,0.157202,1.3638,
196.48,188.524,180.568,172.612,164.682,158.005,
-1.71485,-1.60812,-1.47597,-1.58834,-2.21444,-12.3842,
-0.000507123,-0.0206665,-0.00689688,0.0408017,0.122429,1.3638,
196.48,188.783,181.113,173.417,165.742,158.005,
-1.71485,-1.27558,-0.457484,0.00433987,-0.62642,-12.3842,
-0.000507123,-0.0975719,-0.0990363,-0.00490026,0.184836,1.3638,
196.48,188.237,179.996,171.757,163.641,158.005,
-1.71485,-1.47649,-1.17697,-1.42691,-2.82885,-12.3842,
-0.000507123,-0.0449649,-0.0153472,0.088346,0.266115,1.3638,
196.48,188.578,180.675,172.773,164.871,158.005,
-1.71485,-1.71164,-1.71803,-1.74599,-1.80752,-12.3842,
-0.000507123,-5.19559e-05,0.00192036,0.00540982,0.0104164,1.3638,
196.48,188.659,180.848,173.026,165.22,158.005,
-1.71485,-1.4318,-0.918674,-0.667009,-1.16837,-12.3842,
-0.000507123,-0.0613663,-0.05936,0.00551182,0.133249,1.3638,
196.48,180.757,172.892,165.059,158.005,
-1.71485,-1.18411,-1.15206,-1.83039,-12.3842,
-0.000507123,-0.0316359,0.0323214,0.149293,1.3638,
196.48,188.487,180.502,172.507,164.554,158.005,
-1.71485,-1.44931,-1.00933,-0.917408,-1.69465,-12.3842,
-0.000507123,-0.0550224,-0.0441644,0.0320667,0.173671,1.3638,
188.755,181.088,173.371,165.67,160.091,158.005,
-1.1072,0.0460257,0.759815,0.0445729,-4.9478,-12.3842,
-0.135194,-0.142062,-0.0211108,0.227659,1.12196,1.3638,
196.48,188.563,180.654,172.736,164.843,158.005,
-1.71485,-1.45279,-0.997506,-0.832882,-1.44233,-12.3842,
-0.000507123,-0.0554855,-0.0493332,0.0179497,0.146363,1.3638,
196.48,188.486,180.492,172.498,164.514,158.005,
-1.71485,-1.60359,-1.43204,-1.43138,-1.83256,-12.3842,
-0.000507123,-0.0225068,-0.0155901,0.020243,0.0849925,1.3638,
196.48,188.562,180.648,172.729,164.828,158.005,
-1.71485,-1.53483,-1.23403,-1.15917,-1.65662,-12.3842,
-0.000507123,-0.03766,-0.0310201,0.0194124,0.113637,1.3638,
196.48,180.457,172.448,164.472,158.005,
-1.71485,-1.56083,-1.76303,-2.49567,-12.3842,
-0.000507123,0.00284368,0.0530294,0.135555,1.3638,
188.531,180.652,172.706,164.815,159.769,158.005,
-1.01022,0.29986,1.0324,-1.67741e-05,-5.15182,-12.3842,
-0.151455,-0.153208,-0.00576755,0.290867,1.18118,1.3638,
