157.972,158.118,155.184,148.376,140.282,132.002,
-26.3564,-42.6454,-50.2024,-54.7669,-56.3899,-56.5752,
1.572,1.57815,0.859488,0.35808,0.0739302,0.0070366,
157.972,158.034,158.47,156.001,149.091,140.66,132.002,
-26.3564,-33.8646,-41.3587,-49.4486,-54.5042,-56.3491,-56.5752,
1.572,1.59493,1.67196,0.915439,0.385778,0.0829775,0.0070366,
157.649,158.279,156.586,149.58,132.002,
-33.787,-41.1717,-49.614,-54.8666,-56.5752,
1.53707,1.82947,0.962627,0.369942,0.0070366,
157.972,158.147,154.832,148.033,140.098,132.002,
-26.3564,-43.4371,-50.6541,-54.9121,-56.4078,-56.5752,
1.572,1.49995,0.815365,0.33835,0.0689072,0.0070366,
157.972,145.794,138.921,132.002,
-26.3564,-55.8433,-56.5536,-56.5752,
1.572,0.206754,0.0261314,0.0070366,
157.972,158.077,146.188,139.121,132.002,
-26.3564,-34.9616,-55.6044,-56.4324,-56.5752,
1.572,1.55735,0.200248,0.0507023,0.0070366,
157.972,158.127,157.238,146.139,139.089,132.002,
-26.3564,-35.0334,-43.6459,-55.6955,-56.4142,-56.5752,
1.572,1.56675,1.33047,0.164809,0.0502699,0.0070366,
157.972,157.845,158.4,132.002,
-26.3564,-33.6646,-40.9417,-56.5752,
1.572,1.56741,1.75923,0.0070366,
157.972,158.147,156.982,152.242,143.606,137.806,132.002,
-26.3564,-35.8937,-45.3315,-53.4784,-56.8966,-56.661,-56.5752,
1.572,1.56233,1.28969,0.754056,-0.0445568,-0.032157,0.0070366,
155.512,156.514,154.004,146.935,137.415,132.002,
-22.9805,-32.7641,-51.9521,-58.5392,-58.3957,-56.5752,
1.63601,1.67161,1.05633,0.405455,-0.474247,0.0070366,
157.972,158.032,158.567,156.247,149.3,132.002,
-26.3564,-33.7155,-41.0524,-49.2876,-54.468,-56.5752,
1.572,1.59855,1.70145,0.92996,0.390397,0.0070366,
157.972,157.723,157.08,156.225,144.154,138.142,132.002,
-26.3564,-33.5433,-40.7065,-47.8481,-58.1948,-56.917,-56.5752,
1.572,1.50448,1.46222,1.44523,-0.300539,-0.125399,0.0070366,
157.972,157.834,157.998,155.43,148.63,140.416,132.002,
-26.3564,-34.2227,-42.0856,-49.8948,-54.6917,-56.3906,-56.5752,
1.572,1.55347,1.64881,0.895782,0.371143,0.0748945,0.0070366,
157.972,158.072,155.165,148.343,140.257,132.002,
-26.3564,-42.8771,-50.4095,-54.9024,-56.4341,-56.5752,
1.572,1.58787,0.855069,0.347328,0.0646509,0.0070366,
157.972,158.268,155.517,148.613,140.39,132.002,
-26.3564,-42.6373,-50.3517,-54.9489,-56.4654,-56.5752,
1.572,1.62755,0.868699,0.345664,0.0584436,0.0070366,
157.972,145.953,139,132.002,
-26.3564,-55.6757,-56.4404,-56.5752,
1.572,0.187604,0.0479384,0.0070366,
157.972,158.318,157.684,145.858,138.93,132.002,
-26.3564,-35.4417,-44.4892,-56.5693,-56.6449,-56.5752,
1.572,1.60026,1.35584,0.0489891,-0.0133676,0.0070366,
157.972,158.062,158.638,156.302,149.32,140.773,132.002,
-26.3564,-33.7841,-41.1873,-49.4172,-54.5537,-56.3789,-56.5752,
1.572,1.60476,1.70304,0.925057,0.383063,0.0770559,0.0070366,
157.972,154.028,146.453,139.233,132.002,
-26.3564,-52.0235,-56.2178,-56.5674,-56.5752,
