243.071,223.41,203.741,
-1.69387,-0.59344,0.35573,
-0.0594394,-0.0522261,-0.0440556,
242.428,222.721,212.886,203.741,
-1.73815,-0.971291,-0.229655,0.35573,
-0.00050714,-0.0678528,-0.0803204,-0.0440556,
243.121,233.289,223.443,203.741,
-1.6366,-0.919826,-0.424686,0.35573,
-0.0878928,-0.0595823,-0.0428393,-0.0440556,
243.253,213.634,203.741,
-2.27644,-0.0866763,0.35573,
-0.115539,-0.0469904,-0.0440556,
242.428,217.947,203.741,
-1.73815,-0.54176,0.35573,
-0.00050714,-0.0944797,-0.0440556,
242.899,233.115,223.328,203.741,
-2.00505,-1.32086,-0.68836,0.35573,
-0.071901,-0.0674581,-0.0613363,-0.0440556,
242.958,233.159,203.741,
-2.03112,-1.35477,0.35573,
-0.069652,-0.0676795,-0.0440556,
242.756,233.005,223.252,203.741,
-1.45118,-0.931473,-0.480061,0.35573,
-0.0579308,-0.0491609,-0.043925,-0.0440556,
242.428,226.627,218.738,210.857,203.741,
-1.73815,-1.24521,-0.725352,-0.103402,0.35573,
-0.00050714,-0.0567985,-0.0735457,-0.0826939,-0.0440556,
242.428,227.233,219.406,211.577,203.741,
-1.73815,-1.13213,-0.576912,-0.0604732,0.35573,
-0.00050714,-0.070682,-0.0696493,-0.0607738,-0.0440556,
241.507,232.059,222.619,213.181,203.741,
-1.41675,-1.1317,-0.66205,-0.12666,0.35573,
-0.0161967,-0.042031,-0.0552856,-0.0559605,-0.0440556,
242.428,218.788,211.269,203.741,
-1.73815,-0.614484,-0.0532176,0.35573,
-0.00050714,-0.0845471,-0.0644376,-0.0440556,
242.717,203.741,
-1.75422,0.35573,
-0.0617058,-0.0440556,
241.937,222.842,203.741,
-2.11224,-0.835819,0.35573,
-0.0529418,-0.0725381,-0.0440556,
242.818,203.741,
-1.53756,0.35573,
-0.0657009,-0.0440556,
242.428,234.303,226.185,218.077,209.976,203.741,
-1.73815,-1.59804,-1.22667,-0.685107,-0.0342847,0.35573,
-0.00050714,-0.0327282,-0.0574529,-0.0746812,-0.084413,-0.0440556,
242.194,222.972,203.741,
-1.75651,-0.619855,0.35573,
-0.0608106,-0.0560981,-0.0440556,
241.586,232.127,213.205,203.741,
