192.121,174.502,165.708,157.303,
-1.71264,-1.46066,-1.94576,-21.2827,
-0.00050714,0.0119498,0.108278,1.54115,
192.121,183.578,175.036,166.494,157.303,
-1.71264,-1.65775,-1.61036,-1.7334,-21.2827,
-0.00050714,-0.0091652,0.00124931,0.0307364,1.54115,
192.121,183.357,174.594,165.848,157.303,
-1.71264,-1.43211,-1.1468,-1.67711,-21.2827,
-0.00050714,-0.0478825,-0.00159983,0.138341,1.54115,
192.121,183.043,173.967,164.904,157.303,
-1.71264,-1.73075,-1.90825,-2.41581,-21.2827,
-0.00050714,0.00763601,0.0346121,0.0804212,1.54115,
192.121,183.702,175.298,166.876,157.303,
-1.71264,-1.35011,-0.721825,-0.502967,-21.2827,
-0.00050714,-0.0721977,-0.0636684,0.0250807,1.54115,
192.121,183.181,174.243,165.326,157.303,
-1.71264,-1.67301,-1.78751,-2.39207,-21.2827,
-0.00050714,-0.00208564,0.0339788,0.107686,1.54115,
192.121,183.518,174.916,166.314,157.303,
-1.71264,-1.55973,-1.36746,-1.52238,-21.2827,
-0.00050714,-0.0275482,-0.00965807,0.0531633,1.54115,
192.121,183.397,174.673,165.951,157.303,
-1.71264,-1.74015,-1.74991,-1.61949,-21.2827,
-0.00050714,0.00447496,-0.00457679,-0.0276624,1.54115,
192.121,183.189,174.258,165.337,157.303,
-1.71264,-1.62647,-1.61339,-2.02777,-21.2827,
-0.00050714,-0.0121728,0.0158609,0.0835938,1.54115,
192.121,183.673,175.226,166.777,157.303,
-1.71264,-1.81973,-1.98657,-1.9687,-21.2827,
-0.00050714,0.021035,0.0136396,-0.0226932,1.54115,
192.121,173.777,164.667,157.303,
-1.71264,-1.52385,-2.52493,-21.2827,
-0.00050714,0.0396687,0.194177,1.54115,
192.121,183.243,174.366,165.495,157.303,
-1.71264,-1.54946,-1.39147,-1.7223,-21.2827,
-0.00050714,-0.0271692,0.000659954,0.0829802,1.54115,
192.121,174.201,165.291,157.303,
-1.71264,-1.21013,-2.09119,-21.2827,
-0.00050714,0.0190604,0.196741,1.54115,
192.121,183.387,174.653,165.937,157.303,
-1.71264,-1.44037,-1.16697,-1.6936,-21.2827,
-0.00050714,-0.0465237,-0.000767658,0.136761,1.54115,
192.121,174.138,165.181,157.303,
-1.71264,-1.72641,-2.48389,-21.2827,
-0.00050714,0.0383498,0.139476,1.54115,
192.121,183.045,173.972,164.9,157.303,
-1.71264,-1.79233,-1.99615,-2.25744,-21.2827,
-0.00050714,0.0168447,0.0268511,0.0295122,1.54115,
192.121,183.801,175.489,167.166,157.658,157.303,
-1.71264,-1.34298,-0.798164,-0.911309,-12.9731,-21.2827,
-0.00050714,-0.0716113,-0.0426132,0.0864872,1.44943,1.54115,
192.121,183.141,174.162,165.211,157.303,
-1.71264,-1.63717,-1.71535,-2.38958,-21.2827,
-0.00050714,-0.00807581,0.0337167,0.12487,1.54115,
192.121,183.029,173.938,164.847,157.303,
-1.71264,-1.75334,-1.84345,-1.92113,-21.2827,
-0.00050714,0.00832776,0.0103614,0.00559387,1.54115,
192.121,183.125,174.129,165.133,157.303,
-1.71264,-1.75349,-1.82399,-1.83237,-21.2827,
-0.00050714,0.00788908,0.0060841,-0.00592209,1.54115,
192.121,183.052,173.982,164.968,157.303,
-1.71264,-1.53065,-1.518,-2.45835,-21.2827,
-0.00050714,-0.0251751,0.0368319,0.185514,1.54115,
192.121,183.424,174.727,166.034,157.303,
-1.71264,-1.60401,-1.50755,-1.75411,-21.2827,
-0.00050714,-0.018132,0.00229147,0.0607633,1.54115,
184.128,176.159,168.169,161.038,157.263,157.162,157.303,
-0.998417,-0.0160634,-0.490525,-3.9953,-10.8879,-16.0834,-21.2827,
-0.141802,-0.0675728,0.222179,0.727455,1.44825,1.61464,1.54115,
192.121,183.098,174.077,165.059,157.303,
-1.71264,-1.80973,-2.05524,-2.36682,-21.2827,
-0.00050714,0.0205065,0.032394,0.0351556,1.54115,
192.121,183.659,175.197,166.735,157.303,
-1.71264,-1.62473,-1.51841,-1.61692,-21.2827,
-0.00050714,-0.0158727,-0.00485772,0.0325378,1.54115,
192.121,182.921,173.719,164.603,157.303,
-1.71264,-1.38071,-1.19429,-2.34854,-21.2827,
