1.35982,1.45069,1.53206,1.71909,
92.4073,89.99,88.7195,88.8507,89.8243,91.0764,
-245.101,-252.26,-260.301,-268.448,-276.543,-284.601,
1.57095,1.30461,1.51201,1.65023,1.71925,1.71909,
92.4073,90.2642,88.2413,88.8229,89.8534,91.0764,
-245.101,-252.395,-259.714,-268.046,-276.337,-284.601,
1.57095,1.14642,1.60325,1.67259,1.7112,1.71909,
92.4073,90.1972,88.0397,88.5998,89.7426,91.0764,
-245.101,-251.75,-258.411,-267.186,-275.907,-284.601,
1.57095,1.09173,1.58638,1.67526,1.71949,1.71909,
92.4073,89.7785,88.8637,89.0479,89.9223,91.0764,
-245.101,-253.448,-261.225,-269.058,-276.847,-284.601,
1.57095,1.36595,1.53272,1.64716,1.70929,1.71909,
92.4073,90.6343,88.6269,88.711,91.0764,
-245.101,-251.868,-258.583,-267.306,-284.601,
1.57095,1.17799,1.50243,1.64646,1.71909,
92.4073,88.4642,88.9516,89.8633,91.0764,
-245.101,-257.879,-266.82,-275.729,-284.601,
1.57095,1.59695,1.65129,1.692,1.71909,
92.4073,88.4543,88.8561,91.0764,
-245.101,-258.293,-267.102,-284.601,
1.57095,1.57365,1.6538,1.71909,
91.229,89.8587,89.2858,89.3854,90.0264,91.0764,
-243.875,-251.948,-260.119,-268.309,-276.476,-284.601,
1.34828,1.4544,1.54454,1.6187,1.67688,1.71909,
92.4073,90.4578,88.5035,88.8896,91.0764,
-245.101,-252.271,-259.439,-267.867,-284.601,
1.57095,1.17257,1.56964,1.65721,1.71909,
92.4073,90.2256,88.151,88.7443,89.8061,91.0764,
-245.101,-251.851,-258.624,-267.322,-275.975,-284.601,
1.57095,1.10607,1.60194,1.67088,1.70993,1.71909,
90.2259,89.4565,89.1841,89.3821,90.0226,91.0764,
-242.415,-250.843,-259.302,-267.764,-276.203,-284.601,
1.44926,1.50973,1.56694,1.62091,1.67162,1.71909,
92.4073,90.2764,88.8806,88.9214,89.8417,91.0764,
-245.101,-252.261,-260.283,-268.434,-276.538,-284.601,
1.57095,1.28681,1.4987,1.64137,1.71484,1.71909,
92.4073,88.9146,89.1629,89.9171,91.0764,
-245.101,-257.744,-266.729,-275.687,-284.601,
1.57095,1.56655,1.62845,1.6793,1.71909,
91.7171,90.2725,89.5827,89.5537,90.0857,91.0764,
-244.717,-252.609,-260.604,-268.629,-276.637,-284.601,
1.33809,1.43933,1.52804,1.60424,1.66792,1.71909,
92.5422,90.2787,89.2709,89.2576,89.9553,91.0764,
-243.22,-251.274,-259.583,-267.955,-276.301,-284.601,
1.20882,1.37915,1.51534,1.6174,1.68531,1.71909,
92.4073,90.4241,88.4148,88.8078,91.0764,
-245.101,-252.489,-259.871,-268.158,-284.601,
1.57095,1.1767,1.56397,1.66429,1.71909,
92.4073,90.2219,88.9199,88.9662,89.8557,91.0764,
-245.101,-251.911,-260.033,-268.265,-276.454,-284.601,
1.57095,1.30884,1.50447,1.63805,1.70959,1.71909,
92.4073,90.5097,88.6789,89.0919,91.0764,
-245.101,-252.101,-259.113,-267.642,-284.601,
1.57095,1.17623,1.58969,1.64641,1.71909,
92.4073,89.7349,88.57,88.7936,89.8241,91.0764,
-245.101,-253.203,-261.021,-268.931,-276.782,-284.601,
1.57095,1.31013,1.5233,1.66251,1.72777,1.71909,
90.6952,89.8192,89.4308,89.5193,91.0764,
-243.302,-251.543,-259.82,-268.107,-284.601,
1.4349,1.49464,1.55294,1.60977,1.71909,
92.4073,90.482,88.4493,88.7045,89.7404,91.0764,
-245.101,-251.475,-257.823,-266.797,-275.718,-284.601,
1.57095,1.12689,1.53783,1.65172,1.71214,1.71909,
92.4073,88.1818,88.7271,89.7799,91.0764,
-245.101,-257.75,-266.74,-275.686,-284.601,
1.57095,1.59333,1.66454,1.70646,1.71909,
91.8461,90.0043,89.227,89.2992,91.0764,
-244.267,-252.189,-260.287,-268.424,-284.601,
1.26661,1.41342,1.53208,1.62257,1.71909,
92.4073,90.177,88.0071,88.5875,91.0764,
-245.101,-252.139,-259.191,-267.707,-284.601,
1.57095,1.11291,1.5877,1.68162,1.71909,
90.8896,89.5068,89.0157,89.2377,89.9868,91.0764,
-244.312,-252.298,-260.388,-268.493,-276.566,-284.601,
1.33627,1.45856,1.55799,1.63456,1.68825,1.71909,
92.4073,88.8632,89.2005,91.0764,
-245.101,-257.914,-266.84,-284.601,
1.57095,1.58514,1.63169,1.71909,
92.4073,90.4891,88.643,89.0717,91.0764,
-245.101,-252.227,-259.367,-267.811,-284.601,
1.57095,1.17903,1.59085,1.64954,1.71909,
92.4073,90.3617,88.3137,88.7516,89.8054,91.0764,
-245.101,-252.273,-259.444,-267.874,-276.252,-284.601,
1.57095,1.15415,1.5703,1.66718,1.71678,1.71909,
92.4073,90.3798,88.3699,88.8122,89.8271,91.0764,
-245.101,-252.198,-259.298,-267.774,-276.203,-284.601,
1.57095,1.15421,1.57578,1.66343,1.7112,1.71909,
92.4073,89.3732,89.8524,90.1944,91.0764,
-245.101,-256.734,-266.031,-275.336,-284.601,
1.57095,1.65397,1.60276,1.62446,1.71909,
92.4073,90.3995,88.367,88.7629,91.0764,
-245.101,-252.093,-259.08,-267.632,-284.601,
1.57095,1.15073,1.56398,1.66237,1.71909,
91.6885,89.5679,88.7849,89.0105,91.0764,
-243.825,-251.785,-259.991,-268.235,-284.601,
1.21359,1.40019,1.54403,1.64513,1.71909,
92.4073,90.6746,88.8578,89.0338,89.8589,91.0764,
-245.101,-251.433,-257.747,-266.736,-275.691,-284.601,
1.57095,1.16706,1.54477,1.63126,1.68936,1.71909,
91.3987,89.8287,89.1713,89.27,91.0764,
-241.776,-250.249,-258.842,-267.46,-284.601,
1.32777,1.44418,1.54152,1.61978,1.71909,
91.6162,89.6829,88.9438,89.1243,89.9328,91.0764,
-243.918,-251.895,-260.074,-268.287,-276.464,-284.601,
1.24738,1.41277,1.54264,1.63698,1.6958,1.71909,
89.5215,89.5239,89.5189,89.6683,90.134,91.0764,
-242.934,-251.281,-259.629,-267.975,-276.309,-284.601,
1.57801,1.5674,1.57621,1.60442,1.65205,1.71909,
92.4073,90.774,89.1323,89.3312,91.0764,
-245.101,-251.422,-257.741,-266.723,-284.601,
1.57095,1.19132,1.56832,1.6177,1.71909,
92.4073,90.519,88.3864,88.5285,89.6743,91.0764,
-245.101,-251.951,-258.744,-267.42,-276.029,-284.601,
1.57095,1.15868,1.50048,1.65951,1.73238,1.71909,
89.4585,89.1954,89.1656,91.0764,
-242.221,-250.712,-259.207,-284.601,
1.52847,1.55237,1.58338,1.71909,
91.2254,89.9465,89.3925,89.465,91.0764,
-244.552,-252.5,-260.532,-268.583,-284.601,
1.36165,1.45872,1.543,1.61449,1.71909,
92.4073,90.5889,88.8586,91.0764,
-245.101,-251.843,-258.602,-284.601,
1.57095,1.17903,1.59661,1.71909,
92.4073,90.2012,88.1748,88.8307,89.8684,91.0764,
-245.101,-252.507,-259.95,-268.201,-276.412,-284.601,
1.57095,1.14276,1.61841,1.67758,1.71114,1.71909,
92.4073,90.5893,88.7052,88.9553,89.8463,91.0764,
-245.101,-251.731,-258.348,-267.139,-275.89,-284.601,
1.57095,1.16711,1.55131,1.64145,1.69737,1.71909,
89.7558,89.0921,88.9504,89.2732,91.0764,
-243.178,-251.463,-259.773,-268.079,-284.601,
1.45709,1.52347,1.58286,1.63526,1.71909,
91.2828,89.8344,89.2382,89.3485,90.0126,91.0764,
-243.826,-251.899,-260.081,-268.285,-276.464,-284.601,
1.33471,1.44878,1.54425,1.62112,1.6794,1.71909,
90.3594,89.1787,88.8215,89.1282,89.9347,91.0764,
-242.356,-250.763,-259.246,-267.732,-276.186,-284.601,
1.37611,1.48319,1.57103,1.63962,1.68898,1.71909,
92.4073,90.5662,88.7256,89.0481,89.8909,91.0764,
-245.101,-251.74,-258.38,-267.156,-275.898,-284.601,
1.57095,1.16525,1.57112,1.64057,1.68989,1.71909,
92.4073,90.5132,88.6867,89.0976,89.9267,91.0764,
-245.101,-251.939,-258.791,-267.426,-276.032,-284.601,
1.57095,1.1681,1.59036,1.64446,1.68737,1.71909,
91.2739,91.0764,
-243.86,-284.601,
1.3804,1.71909,
92.4073,90.1851,88.0564,88.6588,89.7745,91.0764,
-245.101,-251.873,-258.667,-267.353,-275.99,-284.601,
1.57095,1.09893,1.59787,1.67592,1.71633,1.71909,
92.4073,90.4904,88.6018,88.9912,91.0764,
-245.101,-251.935,-258.774,-267.419,-284.601,
1.57095,1.16181,1.57906,1.64872,1.71909,
92.4073,90.8364,89.4841,89.8924,90.2053,91.0764,
-245.101,-250.994,-256.925,-266.161,-275.401,-284.601,
1.57095,1.18932,1.64378,1.598,1.6231,1.71909,
92.4073,89.9114,89.5893,89.6595,91.0764,
-245.101,-253.349,-261.175,-269.007,-284.601,
1.57095,1.5057,1.55417,1.60589,1.71909,
92.4073,90.0695,89.1055,89.1691,89.9355,91.0764,
-245.101,-251.766,-259.957,-268.208,-276.426,-284.601,
1.57095,1.378,1.52267,1.62775,1.69322,1.71909,
92.4073,90.5395,88.7272,89.1116,89.9184,91.0764,
-245.101,-251.607,-258.124,-266.982,-275.811,-284.601,
1.57095,1.15376,1.58768,1.63935,1.68316,1.71909,
91.9813,90.1247,89.3084,89.3353,91.0764,
-243.656,-251.7,-259.917,-268.176,-284.601,
1.27153,1.41212,1.52718,1.61669,1.71909,
91.8241,89.9931,89.2161,89.2853,91.0764,
-243.546,-251.617,-259.859,-268.139,-284.601,
1.27423,1.41671,1.53244,1.62141,1.71909,
90.7478,89.7894,89.3825,89.4887,91.0764,
-243.808,-251.94,-260.118,-268.306,-284.601,
1.41803,1.48811,1.55325,1.61346,1.71909,
91.0702,89.47,88.9038,89.1426,89.9469,91.0764,
-243.875,-251.918,-260.102,-268.304,-276.472,-284.601,
1.30104,1.44293,1.55567,1.63928,1.69375,1.71909,
91.8504,89.8746,89.072,89.187,91.0764,
-243.596,-251.631,-259.869,-268.149,-284.601,
1.24667,1.40719,1.53468,1.62917,1.71909,
91.9936,89.8728,89.0206,89.1459,89.9361,91.0764,
-244.079,-251.986,-260.133,-268.326,-276.484,-284.601,
1.2171,1.39404,1.53271,1.6331,1.69523,1.71909,
