Wall time,Step,Value
1585704199.34756,0,0.41391050815582275
1585704381.854315,1,0.5034046769142151
1585704564.11238,2,0.5218871831893921
1585704746.439095,3,0.5363569855690002
1585704928.386642,4,0.5458414554595947
1585705111.046762,5,0.5586089491844177
1585705293.128098,6,0.5708900690078735
1585705474.991494,7,0.574659526348114
1585705656.904813,8,0.5865758657455444
1585705838.614225,9,0.586211085319519
1585706020.550613,10,0.5935068130493164
1585706202.535726,11,0.5969114899635315
1585706384.743483,12,0.6014105081558228
1585706566.536672,13,0.6107733249664307
1585706748.454073,14,0.6138132214546204
1585706930.400953,15,0.6201362013816833
1585707112.189403,16,0.618677020072937
1585707294.725785,17,0.6280398964881897
1585707477.261937,18,0.632538914680481
1585707659.285274,19,0.6333900690078735
1585707841.388885,20,0.6381322741508484
1585708023.302406,21,0.6380106806755066
1585708205.173249,22,0.6442120671272278
1585708387.017738,23,0.6450632214546204
1585708568.921431,24,0.6472519636154175
1585708750.843109,25,0.651021420955658
1585708932.696099,26,0.6513862013816833
1585709114.925963,27,0.6572227478027344
1585709297.404748,28,0.655642032623291
1585709479.400801,29,0.6601410508155823
1585709661.348228,30,0.6634241342544556
1585709843.086424,31,0.6718142032623291
1585710024.776888,32,0.6719357967376709
1585710207.012434,33,0.670111894607544
1585710388.980044,34,0.6742461323738098
1585710570.882232,35,0.6714494228363037
1585710752.74072,36,0.6731517314910889
1585710934.713119,37,0.6716926097869873
1585711116.503559,38,0.681177020072937
1585711298.153885,39,0.6840953230857849
1585711479.973424,40,0.6889591217041016
1585711661.415938,41,0.6895671486854553
1585711843.133016,42,0.6885943412780762
1585712024.914493,43,0.6952821016311646
1585712207.157435,44,0.6995379328727722
1585712389.0122,45,0.6967412233352661
1585712570.954304,46,0.7064688801765442
1585712752.974099,47,0.707806408405304
1585712934.858678,48,0.7114542722702026
1585713116.837001,49,0.705982506275177
1585713314.800715,50,0.712913453578949
1585713497.311894,51,0.7104815244674683
1585713679.827335,52,0.7108463048934937
1585713862.347885,53,0.718142032623291
1585714048.101682,54,0.7231274247169495
1585714234.964525,55,0.7209387421607971
1585714421.283456,56,0.7234922051429749
1585714607.40351,57,0.725072979927063
1585714791.355205,58,0.7272616624832153
1585714977.234931,59,0.732611894607544
1585715161.610094,60,0.7301799654960632
1585715347.26163,61,0.7340710163116455
1585715531.564052,62,0.736138105392456
1585715716.957133,63,0.7356517314910889
1585715901.734535,64,0.7457441687583923
1585716087.151797,65,0.7433122396469116
1585716272.437942,66,0.7452577948570251
1585716458.828346,67,0.7513375282287598
1585716644.974405,68,0.7541342377662659
1585716830.382851,69,0.7520671486854553
1585717014.810363,70,0.7527967095375061
1585717199.216987,71,0.7553501725196838
1585717383.735969,72,0.756322979927063
1585717569.111306,73,0.7608219981193542
1585717755.792561,74,0.7632538676261902
1585717941.333986,75,0.7655642032623291
1585718127.085207,76,0.767874538898468
1585718311.843577,77,0.7699416279792786
1585718496.632409,78,0.7726167440414429
1585718680.953244,79,0.7758998274803162
1585718867.006054,80,0.7782101035118103
1585719051.265475,81,0.7814931869506836
1585719236.961849,82,0.7831954956054688
1585719421.921143,83,0.7874513864517212
1585719608.295922,84,0.7913424372673035
1585719793.096088,85,0.7974221706390381
1585719978.422977,86,0.801556408405304
1585720164.007913,87,0.8075146079063416
1585720349.748806,88,0.8103112578392029
1585720534.242179,89,0.8148103356361389
1585720719.398477,90,0.8182149529457092
1585720904.964875,91,0.8227140307426453
1585721090.068638,92,0.8283073902130127
1585721275.759954,93,0.8313472867012024
1585721461.410521,94,0.8349951505661011
1585721647.125843,95,0.8397373557090759
1585721831.606298,96,0.8403453230857849
1585722018.040416,97,0.8408316969871521
1585722203.670509,98,0.8407101035118103
1585722388.79607,99,0.8413180708885193
1585722574.485924,100,0.8420476913452148
1585722759.388312,101,0.842534065246582
1585722943.839791,102,0.8426556587219238
1585723129.90209,103,0.8430204391479492
1585723317.05814,104,0.8439931869506836
1585723503.335762,105,0.8439931869506836
1585723688.418864,106,0.8444795608520508
1585723873.229892,107,0.845573902130127
1585724058.189971,108,0.8460603356361389
1585724242.827211,109,0.8470330834388733
1585724428.099995,110,0.8472762703895569
1585724612.889484,111,0.8471546769142151
1585724798.352824,112,0.8472762703895569
1585724983.123484,113,0.8475194573402405
1585725167.608878,114,0.8476410508155823
1585725352.259858,115,0.8477626442909241
1585725537.546683,116,0.8480058312416077
1585725722.404972,117,0.8482490181922913
1585725906.899559,118,0.8484922051429749
1585726091.418106,119,0.8484922051429749
1585726275.779173,120,0.8486137986183167
1585726460.361848,121,0.8486137986183167
1585726644.920207,122,0.8487353920936584
1585726829.70007,123,0.8488569855690002
1585727014.341995,124,0.848978579044342
1585727199.326481,125,0.8491001725196838
1585727384.048091,126,0.8491001725196838
1585727569.257994,127,0.8491001725196838
1585727754.570436,128,0.8492217659950256
1585727939.054485,129,0.8493433594703674
1585728123.598586,130,0.8493433594703674
1585728308.629687,131,0.8493433594703674
1585728493.330083,132,0.8494649529457092
1585728678.319362,133,0.8494649529457092
1585728863.071035,134,0.849586546421051
1585729047.742351,135,0.849586546421051
1585729232.309054,136,0.849586546421051
1585729417.145429,137,0.8497081995010376
1585729602.273015,138,0.849586546421051
1585729787.131601,139,0.849586546421051
1585729971.995107,140,0.8497081995010376
1585730156.674071,141,0.8497081995010376
1585730341.361923,142,0.8497081995010376
1585730526.147178,143,0.850072979927063
1585730711.053061,144,0.8503161668777466
1585730896.181243,145,0.8503161668777466
1585731080.99241,146,0.8503161668777466
1585731266.037713,147,0.8504377603530884
1585731450.929169,148,0.8504377603530884
1585731635.706743,149,0.8508025407791138
1585731821.025739,150,0.8510457277297974
1585732006.117696,151,0.8510457277297974
1585732190.691625,152,0.8510457277297974
1585732375.014613,153,0.8514105081558228
1585732559.536359,154,0.8514105081558228
1585732744.397773,155,0.8516536951065063
1585732929.283461,156,0.8517752885818481
1585733114.164684,157,0.8517752885818481
