Wall time,Step,Value
1585946856.974381,0,0.4102626442909241
1585947055.937641,1,0.5159289836883545
1585947253.702422,2,0.5255350470542908
1585947449.773802,3,0.5386673212051392
1585947646.088172,4,0.5510700345039368
1585947842.932862,5,0.5622568130493164
1585948039.979406,6,0.5717412233352661
1585948236.184157,7,0.575875461101532
1585948432.790667,8,0.5819552540779114
1585948628.74397,9,0.5873054265975952
1585948825.098837,10,0.5830495953559875
1585949020.911504,11,0.5982490181922913
1585949216.614366,12,0.607611894607544
1585949412.024254,13,0.6062743067741394
1585949604.649732,14,0.6094357967376709
1585949796.797412,15,0.6095573902130127
1585949988.907843,16,0.6141780018806458
1585950181.904371,17,0.618677020072937
1585950374.034915,18,0.6225680708885193
1585950566.842952,19,0.6218385100364685
1585950760.191241,20,0.6314445734024048
1585950952.740063,21,0.6307149529457092
1585951144.935435,22,0.6389834880828857
1585951338.334591,23,0.6378890872001648
1585951531.544198,24,0.6391050815582275
1585951724.972713,25,0.6468871831893921
1585951918.84585,26,0.6436040997505188
1585952111.387165,27,0.6481031179428101
1585952305.547536,28,0.650413453578949
1585952498.743236,29,0.65625
1585952691.901592,30,0.6563715934753418
1585952885.166795,31,0.661478579044342
1585953078.997268,32,0.6612353920936584
1585953272.621633,33,0.6591683030128479
1585953465.683708,34,0.667801558971405
1585953659.012888,35,0.670111894607544
1585953852.163344,36,0.6692606806755066
1585954045.217054,37,0.6710846424102783
1585954238.00283,38,0.6767995953559875
1585954431.123501,39,0.6785019636154175
1585954623.923177,40,0.6840953230857849
1585954817.266952,41,0.6812986135482788
1585955009.904811,42,0.6820282340049744
1585955203.442035,43,0.6800826787948608
1585955396.708691,44,0.6866488456726074
1585955589.958086,45,0.6888375282287598
1585955783.709712,46,0.6911478638648987
1585955976.82487,47,0.6957684755325317
1585956170.111505,48,0.6983219981193542
1585956363.413568,49,0.7014834880828857
1585956574.249737,50,0.699659526348114
1585956767.379791,51,0.7033073902130127
1585956959.965663,52,0.7067120671272278
1585957153.728901,53,0.7102383375167847
1585957348.62991,54,0.7090224027633667
1585957541.364062,55,0.7098735570907593
1585957733.984055,56,0.7123054265975952
1585957927.324537,57,0.7123054265975952
1585958120.327309,58,0.7142509818077087
1585958314.004904,59,0.7131566405296326
1585958506.884744,60,0.7151021361351013
1585958700.652108,61,0.7208171486854553
1585958893.872996,62,0.7254377603530884
1585959087.696684,63,0.7282344102859497
1585959282.854011,64,0.7311527132987976
1585959476.327835,65,0.7332198619842529
1585959670.13656,66,0.736138105392456
1585959863.871303,67,0.7395427823066711
1585960057.246094,68,0.7351653575897217
1585960251.29206,69,0.743677020072937
1585960659.70277,70,0.7396643757820129
1585961010.360991,71,0.743069052696228
1585961361.853996,72,0.744771420955658
1585961712.008653,73,0.7472032904624939
1585962063.517877,74,0.750607967376709
1585962414.334252,75,0.7547422051429749
1585962765.850931,76,0.7585116624832153
1585963117.358492,77,0.7608219981193542
1585963468.650099,78,0.7639834880828857
1585963822.84529,79,0.7655642032623291
1585964173.649426,80,0.7706711888313293
1585964523.662161,81,0.7732247114181519
1585964874.943078,82,0.7757782340049744
