Wall time,Step,Value
1585946856.974579,0,2343.514404296875
1585947055.937926,1,2251.38818359375
1585947253.702573,2,2223.8251953125
1585947449.774241,3,2211.93505859375
1585947646.088297,4,2206.045166015625
1585947842.934991,5,2202.820556640625
1585948039.97946,6,2202.039306640625
1585948236.184232,7,2200.591064453125
1585948432.790774,8,2196.090576171875
1585948628.744133,9,2193.551025390625
1585948825.098937,10,2192.07763671875
1585949020.911677,11,2190.07373046875
1585949216.614539,12,2188.918701171875
1585949412.024327,13,2188.29736328125
1585949604.649833,14,2187.978515625
1585949796.797559,15,2187.40185546875
1585949988.908012,16,2186.095703125
1585950181.90452,17,2185.65673828125
1585950374.035084,18,2184.864013671875
1585950566.843078,19,2183.9853515625
1585950760.191318,20,2183.556396484375
1585950952.740126,21,2183.142578125
1585951144.935493,22,2182.871337890625
1585951338.334906,23,2182.453369140625
1585951531.544717,24,2181.749267578125
1585951724.974705,25,2181.359619140625
1585951918.846087,26,2181.0810546875
1585952111.387256,27,2181.375732421875
1585952305.547727,28,2180.86181640625
1585952498.743405,29,2180.382568359375
1585952691.901655,30,2180.398193359375
1585952885.166868,31,2180.071533203125
1585953078.997419,32,2179.999267578125
1585953272.621793,33,2180.175537109375
1585953465.683764,34,2180.302734375
1585953659.013044,35,2179.579833984375
1585953852.16342,36,2179.080810546875
1585954045.217213,37,2178.920654296875
1585954238.002884,38,2178.7734375
1585954431.123643,39,2178.776123046875
1585954623.923244,40,2178.931396484375
1585954817.267005,41,2178.990966796875
1585955009.904969,42,2178.738037109375
1585955203.442156,43,2178.7431640625
1585955396.70888,44,2178.7392578125
1585955589.958205,45,2178.549560546875
1585955783.710129,46,2178.200927734375
1585955976.824957,47,2178.03125
1585956170.111597,48,2177.79541015625
1585956363.413726,49,2177.734130859375
1585956574.250198,50,2177.60498046875
1585956767.379858,51,2177.373291015625
1585956959.965761,52,2177.453369140625
1585957153.729023,53,2177.66796875
1585957348.630072,54,2177.796142578125
1585957541.364177,55,2177.944091796875
1585957733.984125,56,2177.994140625
1585957927.324701,57,2178.003662109375
1585958120.327455,58,2178.017578125
1585958314.005003,59,2177.85888671875
1585958506.885136,60,2177.54150390625
